location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
US,0,1.2355858649743858,1.7265695182573602,2.3339842569407065,4125,5764.147571370327,7792,1.24,1.73,2.33,4125,5764,7792,wk inc covid hosp,2026-02-07,2026-02-07,2026-02-04,"February 07, 2026","February 04, 2026","February 07, 2026",CovidHub-ensemble
US,1,1.0885696673731056,1.6534661028350728,2.582314550603013,3634.186830072831,5520.092020748447,8621.05,1.09,1.65,2.58,3634,5520,8621,wk inc covid hosp,2026-02-14,2026-02-07,2026-02-04,"February 14, 2026","February 04, 2026","February 07, 2026",CovidHub-ensemble
US,2,0.8933363035992602,1.5380753066174984,2.677908682703157,2982.400783957932,5134.860166054672,8940.190746176526,0.89,1.54,2.68,2982,5135,8940,wk inc covid hosp,2026-02-21,2026-02-07,2026-02-04,"February 21, 2026","February 04, 2026","February 07, 2026",CovidHub-ensemble
Alabama,0,1.2641432498110297,2.0206534322367986,2.976545187773873,64.437945,103,151.72525354896217,1.26,2.02,2.98,64,103,152,wk inc covid hosp,2026-02-07,2026-02-07,2026-02-04,"February 07, 2026","February 04, 2026","February 07, 2026",CovidHub-ensemble
Alabama,1,1.0201357133622673,2.0492419630043743,3.23954395225294,52,104.4572606178194,165.13125,1.02,2.05,3.24,52,104,165,wk inc covid hosp,2026-02-14,2026-02-07,2026-02-04,"February 14, 2026","February 04, 2026","February 07, 2026",CovidHub-ensemble
Alabama,2,0.8552548653455107,1.9149037845777832,3.728436556027064,43.59542795672458,97.60955870259193,190.0518709166667,0.86,1.91,3.73,44,98,190,wk inc covid hosp,2026-02-21,2026-02-07,2026-02-04,"February 21, 2026","February 04, 2026","February 07, 2026",CovidHub-ensemble
Alaska,0,0.28101293924078735,0.9835452873427557,2.107597044305905,2,7,15,0.28,0.98,2.11,2,7,15,wk inc covid hosp,2026-02-07,2026-02-07,2026-02-04,"February 07, 2026","February 04, 2026","February 07, 2026",CovidHub-ensemble
Alaska,1,0.14050646962039368,0.9743603918290179,2.5849108177781153,1,6.934630088290222,18.397094630316804,0.14,0.97,2.58,1,7,18,wk inc covid hosp,2026-02-14,2026-02-07,2026-02-04,"February 14, 2026","February 04, 2026","February 07, 2026",CovidHub-ensemble
Alaska,2,0.1292659520507622,1.0664733885478952,2.7990810510628585,0.92,7.590208418368111,19.92136773932998,0.13,1.07,2.8,1,8,20,wk inc covid hosp,2026-02-21,2026-02-07,2026-02-04,"February 21, 2026","February 04, 2026","February 07, 2026",CovidHub-ensemble
Arizona,0,0.3635895380220431,0.6813177784437808,1.1629277725010068,26.956695600141764,50.5132135,86.22,0.36,0.68,1.16,27,51,86,wk inc covid hosp,2026-02-07,2026-02-07,2026-02-04,"February 07, 2026","February 04, 2026","February 07, 2026",CovidHub-ensemble
Arizona,1,0.3203240204772868,0.6884192315504921,1.5374668714401458,23.74897022723546,51.0397185,113.98850108333326,0.32,0.69,1.54,24,51,114,wk inc covid hosp,2026-02-14,2026-02-07,2026-02-04,"February 14, 2026","February 04, 2026","February 07, 2026",CovidHub-ensemble
Arizona,2,0.25912360805162454,0.6778883891467627,1.7745455720129064,19.211543497807146,50.258957,131.565625,0.26,0.68,1.77,19,50,132,wk inc covid hosp,2026-02-21,2026-02-07,2026-02-04,"February 21, 2026","February 04, 2026","February 07, 2026",CovidHub-ensemble
Arkansas,0,0.8709067890871207,1.4686799113308981,2.3047726981740873,26.684375,45,70.61768232660647,0.87,1.47,2.3,27,45,71,wk inc covid hosp,2026-02-07,2026-02-07,2026-02-04,"February 07, 2026","February 04, 2026","February 07, 2026",CovidHub-ensemble
Arkansas,1,0.7180212899839946,1.4360425799679892,2.536608843106692,22,44,77.7210861666667,0.72,1.44,2.54,22,44,78,wk inc covid hosp,2026-02-14,2026-02-07,2026-02-04,"February 14, 2026","February 04, 2026","February 07, 2026",CovidHub-ensemble
