location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,0.6572588931270196,1.092739206530298,1.6738079244645536,2194.25700067001,3648.10682504119,5588.00313611504,0.66,1.09,1.67,2194,3648,5588,wk inc covid hosp,hosp,2025-05-17,2025-05-17,2025-05-14,"May 17, 2025","May 14, 2025","May 17, 2025",CovidHub-ensemble
United States,1,0.4785895824194241,0.9956246062375058,1.7963090177555816,1597.77,3323.89,5996.97269796412,0.48,1,1.8,1598,3324,5997,wk inc covid hosp,hosp,2025-05-24,2025-05-17,2025-05-14,"May 24, 2025","May 14, 2025","May 17, 2025",CovidHub-ensemble
United States,2,0.36467605406796744,0.9353923416624841,2.151964511343903,1217.47,3122.80475095734,7184.32758169957,0.36,0.94,2.15,1217,3123,7184,wk inc covid hosp,hosp,2025-05-31,2025-05-17,2025-05-14,"May 31, 2025","May 14, 2025","May 17, 2025",CovidHub-ensemble
Alabama,0,0.6214784473769858,1.1186380639114533,1.940521591203091,31.679,57.0210204009775,98.9153907865658,0.62,1.12,1.94,32,57,99,wk inc covid hosp,hosp,2025-05-17,2025-05-17,2025-05-14,"May 17, 2025","May 14, 2025","May 17, 2025",CovidHub-ensemble
Alabama,1,0.42863356156254184,1.0250402119842013,2.0024144699566695,21.849,52.25,102.070294249928,0.43,1.03,2,22,52,102,wk inc covid hosp,hosp,2025-05-24,2025-05-17,2025-05-14,"May 24, 2025","May 14, 2025","May 17, 2025",CovidHub-ensemble
Alabama,2,0.28911038476576406,0.8939129291031849,2.1423844991949754,14.737,45.5659690220634,109.20507193201,0.29,0.89,2.14,15,46,109,wk inc covid hosp,hosp,2025-05-31,2025-05-17,2025-05-14,"May 31, 2025","May 14, 2025","May 17, 2025",CovidHub-ensemble
Alaska,0,0.14050646962039368,0.5593562555587872,1.3987537864518562,1,3.981,9.95508456109437,0.14,0.56,1.4,1,4,10,wk inc covid hosp,hosp,2025-05-17,2025-05-17,2025-05-14,"May 17, 2025","May 14, 2025","May 17, 2025",CovidHub-ensemble
Alaska,1,0.07639357043271033,0.4714321286544609,1.5694572656597972,0.543701444062347,3.35523431716795,11.17,0.08,0.47,1.57,1,3,11,wk inc covid hosp,hosp,2025-05-24,2025-05-17,2025-05-14,"May 24, 2025","May 14, 2025","May 17, 2025",CovidHub-ensemble
Alaska,2,0.06028605685111976,0.45431937993665267,1.5905693657526438,0.429062498075673,3.23344100214095,11.3202571386918,0.06,0.45,1.59,0,3,11,wk inc covid hosp,hosp,2025-05-31,2025-05-17,2025-05-14,"May 31, 2025","May 14, 2025","May 17, 2025",CovidHub-ensemble
Arizona,0,0.35388937669131265,0.8635335981380867,1.810246804432519,26.2375211770072,64.0227781914129,134.212530794157,0.35,0.86,1.81,26,64,134,wk inc covid hosp,hosp,2025-05-17,2025-05-17,2025-05-14,"May 17, 2025","May 14, 2025","May 17, 2025",CovidHub-ensemble
Arizona,1,0.21971808645373928,0.9146693064395608,2.0921432742243304,16.29,67.81400312731,155.112464736898,0.22,0.91,2.09,16,68,155,wk inc covid hosp,hosp,2025-05-24,2025-05-17,2025-05-14,"May 24, 2025","May 14, 2025","May 17, 2025",CovidHub-ensemble
Arizona,2,0.09313666072683634,0.7144965419392529,2.132260076671064,6.90519486915158,52.9731022877855,158.086742924028,0.09,0.71,2.13,7,53,158,wk inc covid hosp,hosp,2025-05-31,2025-05-17,2025-05-14,"May 31, 2025","May 14, 2025","May 17, 2025",CovidHub-ensemble
Arkansas,0,0.0652746627258177,0.23905073375149513,1.0284023112452578,2,7.3244571099697096,31.51,0.07,0.24,1.03,2,7,32,wk inc covid hosp,hosp,2025-05-17,2025-05-17,2025-05-14,"May 17, 2025","May 14, 2025","May 17, 2025",CovidHub-ensemble
Arkansas,1,0.03303027639126416,0.3498021543580661,1.1321890249793078,1.012039741362,10.7178540570141,34.69,0.03,0.35,1.13,1,11,35,wk inc covid hosp,hosp,2025-05-24,2025-05-17,2025-05-14,"May 24, 2025","May 14, 2025","May 17, 2025",CovidHub-ensemble
