location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,1.3177395947165738,2.0557153433501116,2.8464916275108196,4399.27,6863,9503.00444212798,1.32,2.06,2.85,4399,6863,9503,wk inc covid hosp,hosp,2025-03-29,2025-03-29,2025-03-26,"March 29, 2025","March 26, 2025","March 29, 2025",CovidHub-ensemble
United States,1,1.0656307414165154,1.8602150363878238,2.92965953785576,3557.60528907819,6210.32276478725,9780.66028127113,1.07,1.86,2.93,3558,6210,9781,wk inc covid hosp,hosp,2025-04-05,2025-03-29,2025-03-26,"April 05, 2025","March 26, 2025","March 29, 2025",CovidHub-ensemble
United States,2,0.8402518553527395,1.7720405494336875,3.099899367798309,2805.1785,5915.95248345245,10349.0054836724,0.84,1.77,3.1,2805,5916,10349,wk inc covid hosp,hosp,2025-04-12,2025-03-29,2025-03-26,"April 12, 2025","March 26, 2025","March 29, 2025",CovidHub-ensemble
Alabama,0,2.575225024763402,3.7929867753187585,5.301615875351972,131.26851607453,193.342228620256,270.2425,2.58,3.79,5.3,131,193,270,wk inc covid hosp,hosp,2025-03-29,2025-03-29,2025-03-26,"March 29, 2025","March 26, 2025","March 29, 2025",CovidHub-ensemble
Alabama,1,2.092561336915082,3.449404309969374,5.317751675818134,106.665405488988,175.828590028698,271.065,2.09,3.45,5.32,107,176,271,wk inc covid hosp,hosp,2025-04-05,2025-03-29,2025-03-26,"April 05, 2025","March 26, 2025","March 29, 2025",CovidHub-ensemble
Alabama,2,1.6090438039911477,3.45276702984152,5.748072384906622,82.0187713375612,176,293,1.61,3.45,5.75,82,176,293,wk inc covid hosp,hosp,2025-04-12,2025-03-29,2025-03-26,"April 12, 2025","March 26, 2025","March 29, 2025",CovidHub-ensemble
Alaska,0,0.421519408861181,1.2067640450998454,2.6696229227874797,3,8.58867245302056,19,0.42,1.21,2.67,3,9,19,wk inc covid hosp,hosp,2025-03-29,2025-03-29,2025-03-26,"March 29, 2025","March 26, 2025","March 29, 2025",CovidHub-ensemble
Alaska,1,0.33753968338955703,1.1609120046610633,3.1613955664588578,2.40230705604865,8.2623384374933,22.5,0.34,1.16,3.16,2,8,22,wk inc covid hosp,hosp,2025-04-05,2025-03-29,2025-03-26,"April 05, 2025","March 26, 2025","March 29, 2025",CovidHub-ensemble
Alaska,2,0.23746668368131163,0.9835452873427557,3.231648801269055,1.6900765090951,7,23,0.24,0.98,3.23,2,7,23,wk inc covid hosp,hosp,2025-04-12,2025-03-29,2025-03-26,"April 12, 2025","March 26, 2025","March 29, 2025",CovidHub-ensemble
Arizona,0,1.3742024260437553,2.1945527225052017,3.097356416160515,101.884,162.705148340788,229.639429478092,1.37,2.19,3.1,102,163,230,wk inc covid hosp,hosp,2025-03-29,2025-03-29,2025-03-26,"March 29, 2025","March 26, 2025","March 29, 2025",CovidHub-ensemble
Arizona,1,1.0931278279093493,2.040494935335699,3.2522336181101252,81.045,151.283233133459,241.122096474149,1.09,2.04,3.25,81,151,241,wk inc covid hosp,hosp,2025-04-05,2025-03-29,2025-03-26,"April 05, 2025","March 26, 2025","March 29, 2025",CovidHub-ensemble
Arizona,2,0.7303569468007077,1.9322175420385577,3.43424834246487,54.149,143.255497386808,254.616751864583,0.73,1.93,3.43,54,143,255,wk inc covid hosp,hosp,2025-04-12,2025-03-29,2025-03-26,"April 12, 2025","March 26, 2025","March 29, 2025",CovidHub-ensemble
Arkansas,0,0.6482491599226855,1.6330803550664628,3.238602391141445,19.8621986802327,50.0371901399512,99.23,0.65,1.63,3.24,20,50,99,wk inc covid hosp,hosp,2025-03-29,2025-03-29,2025-03-26,"March 29, 2025","March 26, 2025","March 29, 2025",CovidHub-ensemble
Arkansas,1,0.5008473674992787,1.4769201828636092,2.9683489687908784,15.3458431368097,45.2524799420971,90.9495,0.5,1.48,2.97,15,45,91,wk inc covid hosp,hosp,2025-04-05,2025-03-29,2025-03-26,"April 05, 2025","March 26, 2025","March 29, 2025",CovidHub-ensemble
Arkansas,2,0.3916479763549062,1.1716954973788078,2.937803593029054,12,35.9004688327673,90.0135970175479,0.39,1.17,2.94,12,36,90,wk inc covid hosp,hosp,2025-04-12,2025-03-29,2025-03-26,"April 12, 2025","March 26, 2025","March 29, 2025",CovidHub-ensemble
California,0,0.7246148452260951,1.097223575420462,1.708582826570489,281.354778149555,426.0319777834,663.411666607362,0.72,1.1,1.71,281,426,663,wk inc covid hosp,hosp,2025-03-29,2025-03-29,2025-03-26,"March 29, 2025","March 26, 2025","March 29, 2025",CovidHub-ensemble
