week_ending_date,location,location_name,target,target_data_type,value
2024-11-09,01,Alabama,wk inc covid hosp,hosp,112
2024-11-09,02,Alaska,wk inc covid hosp,hosp,13
2024-11-09,04,Arizona,wk inc covid hosp,hosp,505
2024-11-09,05,Arkansas,wk inc covid hosp,hosp,59
2024-11-09,06,California,wk inc covid hosp,hosp,603
2024-11-09,08,Colorado,wk inc covid hosp,hosp,143
2024-11-09,09,Connecticut,wk inc covid hosp,hosp,79
2024-11-09,10,Delaware,wk inc covid hosp,hosp,19
2024-11-09,11,District of Columbia,wk inc covid hosp,hosp,8
2024-11-09,12,Florida,wk inc covid hosp,hosp,401
2024-11-09,13,Georgia,wk inc covid hosp,hosp,83
2024-11-09,15,Hawaii,wk inc covid hosp,hosp,22
2024-11-09,16,Idaho,wk inc covid hosp,hosp,33
2024-11-09,17,Illinois,wk inc covid hosp,hosp,225
2024-11-09,18,Indiana,wk inc covid hosp,hosp,181
2024-11-09,19,Iowa,wk inc covid hosp,hosp,48
2024-11-09,20,Kansas,wk inc covid hosp,hosp,61
2024-11-09,21,Kentucky,wk inc covid hosp,hosp,124
2024-11-09,22,Louisiana,wk inc covid hosp,hosp,76
2024-11-09,23,Maine,wk inc covid hosp,hosp,35
2024-11-09,24,Maryland,wk inc covid hosp,hosp,99
2024-11-09,25,Massachusetts,wk inc covid hosp,hosp,217
2024-11-09,26,Michigan,wk inc covid hosp,hosp,546
2024-11-09,27,Minnesota,wk inc covid hosp,hosp,202
2024-11-09,28,Mississippi,wk inc covid hosp,hosp,37
2024-11-09,29,Missouri,wk inc covid hosp,hosp,150
2024-11-09,30,Montana,wk inc covid hosp,hosp,18
2024-11-09,31,Nebraska,wk inc covid hosp,hosp,32
2024-11-09,32,Nevada,wk inc covid hosp,hosp,43
2024-11-09,33,New Hampshire,wk inc covid hosp,hosp,55
2024-11-09,34,New Jersey,wk inc covid hosp,hosp,184
2024-11-09,35,New Mexico,wk inc covid hosp,hosp,89
2024-11-09,36,New York,wk inc covid hosp,hosp,417
2024-11-09,37,North Carolina,wk inc covid hosp,hosp,192
2024-11-09,38,North Dakota,wk inc covid hosp,hosp,14
2024-11-09,39,Ohio,wk inc covid hosp,hosp,393
2024-11-09,40,Oklahoma,wk inc covid hosp,hosp,59
2024-11-09,41,Oregon,wk inc covid hosp,hosp,73
2024-11-09,42,Pennsylvania,wk inc covid hosp,hosp,892
2024-11-09,44,Rhode Island,wk inc covid hosp,hosp,28
2024-11-09,45,South Carolina,wk inc covid hosp,hosp,75
2024-11-09,46,South Dakota,wk inc covid hosp,hosp,30
2024-11-09,47,Tennessee,wk inc covid hosp,hosp,113
2024-11-09,48,Texas,wk inc covid hosp,hosp,341
2024-11-09,49,Utah,wk inc covid hosp,hosp,41
2024-11-09,50,Vermont,wk inc covid hosp,hosp,19
2024-11-09,51,Virginia,wk inc covid hosp,hosp,126
2024-11-09,53,Washington,wk inc covid hosp,hosp,93
2024-11-09,54,West Virginia,wk inc covid hosp,hosp,60
2024-11-09,55,Wisconsin,wk inc covid hosp,hosp,155
2024-11-09,56,Wyoming,wk inc covid hosp,hosp,59
2024-11-09,72,Puerto Rico,wk inc covid hosp,hosp,9
2024-11-09,US,United States,wk inc covid hosp,hosp,7691
2024-11-16,01,Alabama,wk inc covid hosp,hosp,81
2024-11-16,02,Alaska,wk inc covid hosp,hosp,10
2024-11-16,04,Arizona,wk inc covid hosp,hosp,680
2024-11-16,05,Arkansas,wk inc covid hosp,hosp,41
