location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,0.6263261954276141,1.0299918451270997,1.4266898120904243,2090.98827477479,3438.62493217933,4763,0.63,1.03,1.43,2091,3439,4763,wk inc covid hosp,hosp,2025-07-12,2025-07-12,2025-07-09,"July 12, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
United States,1,0.5840981315293824,1.0670262298047728,1.7540837739904138,1950.01,3562.26412321084,5856.00383819578,0.58,1.07,1.75,1950,3562,5856,wk inc covid hosp,hosp,2025-07-19,2025-07-12,2025-07-09,"July 19, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
United States,2,0.5310893110856818,1.0778886951274789,2.0188506455430137,1773.04019925305,3598.52843371029,6739.92730811757,0.53,1.08,2.02,1773,3599,6740,wk inc covid hosp,hosp,2025-07-26,2025-07-12,2025-07-09,"July 26, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
Alabama,0,0.7174104404220145,1.3732596141415137,2.0598894212122705,36.569,70,105,0.72,1.37,2.06,37,70,105,wk inc covid hosp,hosp,2025-07-12,2025-07-12,2025-07-09,"July 12, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
Alabama,1,0.7258657960462287,1.4124956031169855,2.6909254188143237,37,72,137.166182837728,0.73,1.41,2.69,37,72,137,wk inc covid hosp,hosp,2025-07-19,2025-07-12,2025-07-09,"July 19, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
Alabama,2,0.6729859791746533,1.4461256796639752,3.1067596312738885,34.3045248379169,73.7142464061764,158.362753808299,0.67,1.45,3.11,34,74,158,wk inc covid hosp,hosp,2025-07-26,2025-07-12,2025-07-09,"July 26, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
Alaska,0,0.5465701668233314,1.264558226583543,2.679524908637537,3.89,9,19.0704735225133,0.55,1.26,2.68,4,9,19,wk inc covid hosp,hosp,2025-07-12,2025-07-12,2025-07-09,"July 12, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
Alaska,1,0.5226840669878645,1.3764783905969993,2.772951784351949,3.72,9.79654811850181,19.7354028739291,0.52,1.38,2.77,4,10,20,wk inc covid hosp,hosp,2025-07-19,2025-07-12,2025-07-09,"July 19, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
Alaska,2,0.421519408861181,1.3270570256292555,2.952916768188211,3,9.44481082767623,21.01623346004,0.42,1.33,2.95,3,9,21,wk inc covid hosp,hosp,2025-07-26,2025-07-12,2025-07-09,"July 26, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
Arizona,0,0.41440260823847064,0.8092747199032754,1.4810923926633446,30.724,60,109.808871294561,0.41,0.81,1.48,31,60,110,wk inc covid hosp,hosp,2025-07-12,2025-07-12,2025-07-09,"July 12, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
Arizona,1,0.34765093175844874,0.8200671154901048,1.6907744385801489,25.775,60.8001531733095,125.354794632574,0.35,0.82,1.69,26,61,125,wk inc covid hosp,hosp,2025-07-19,2025-07-12,2025-07-09,"July 19, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
Arizona,2,0.26222524111665885,0.8567969856949079,1.9472187526928753,19.4415,63.5233226460339,144.367694045276,0.26,0.86,1.95,19,64,144,wk inc covid hosp,hosp,2025-07-26,2025-07-12,2025-07-09,"July 26, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
Arkansas,0,0.1305493254516354,0.3916479763549062,0.8485706154356301,4,12,26,0.13,0.39,0.85,4,12,26,wk inc covid hosp,hosp,2025-07-12,2025-07-12,2025-07-09,"July 12, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
Arkansas,1,0.09791199408872656,0.399406851708437,1.1292428395610279,3,12.2377300787021,34.5997295858684,0.1,0.4,1.13,3,12,35,wk inc covid hosp,hosp,2025-07-19,2025-07-12,2025-07-09,"July 19, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
Arkansas,2,0.0842523118693482,0.45743166935314444,1.348593961188074,2.58147061512198,14.0155965653797,41.3205953082519,0.08,0.46,1.35,3,14,41,wk inc covid hosp,hosp,2025-07-26,2025-07-12,2025-07-09,"July 26, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
California,0,0.9345418661638917,1.4915702093268128,2.1866204761628945,362.865626005731,579.149610450898,849.025,0.93,1.49,2.19,363,579,849,wk inc covid hosp,hosp,2025-07-12,2025-07-12,2025-07-09,"July 12, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
California,1,0.8627753711781981,1.5199623460710125,2.523939891804878,335,590.173761263546,980,0.86,1.52,2.52,335,590,980,wk inc covid hosp,hosp,2025-07-19,2025-07-12,2025-07-09,"July 19, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
California,2,0.7336868937994653,1.571997377972513,3.004369018043801,284.877289771472,610.378018674369,1166.54190032135,0.73,1.57,3,285,610,1167,wk inc covid hosp,hosp,2025-07-26,2025-07-12,2025-07-09,"July 26, 2025","July 09, 2025","July 12, 2025",CovidHub-ensemble
