location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,0.8876908253462567,1.3658256001556528,1.7832032024982474,2963.5533703918,4559.80499644099,5953.21896989956,0.89,1.37,1.78,2964,4560,5953,wk inc covid hosp,hosp,2025-07-26,2025-07-26,2025-07-23,"July 26, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
United States,1,0.8189261615547359,1.5171165144875336,2.2195652616444876,2733.98273011428,5064.88929637505,7410.0125,0.82,1.52,2.22,2734,5065,7410,wk inc covid hosp,hosp,2025-08-02,2025-07-26,2025-07-23,"August 02, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
United States,2,0.7411318170592018,1.5309203439277876,2.4797221948479007,2474.26652572833,5110.97334286277,8278.54570346646,0.74,1.53,2.48,2474,5111,8279,wk inc covid hosp,hosp,2025-08-09,2025-07-26,2025-07-23,"August 09, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
Alabama,0,0.7202053339092503,1.406690696316596,2.403204324747649,36.7114658106099,71.7041029446706,122.5,0.72,1.41,2.4,37,72,122,wk inc covid hosp,hosp,2025-07-26,2025-07-26,2025-07-23,"July 26, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
Alabama,1,0.6704327622013116,1.520231406135565,3.011362153867462,34.1743781516724,77.4916828061059,153.5,0.67,1.52,3.01,34,77,154,wk inc covid hosp,hosp,2025-08-02,2025-07-26,2025-07-23,"August 02, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
Alabama,2,0.6307072218130715,1.5600734416478823,3.590092991255671,32.149423948883,79.5225751859169,183,0.63,1.56,3.59,32,80,183,wk inc covid hosp,hosp,2025-08-09,2025-07-26,2025-07-23,"August 09, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
Alaska,0,0.5607242307051191,1.490530694421907,2.8337608884609202,3.99073602959371,10.6082709105771,20.1681879568741,0.56,1.49,2.83,4,11,20,wk inc covid hosp,hosp,2025-07-26,2025-07-26,2025-07-23,"July 26, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
Alaska,1,0.44185999461108366,1.6158244006345275,3.4424085056996447,3.14476618624649,11.5,24.5,0.44,1.62,3.44,3,12,24,wk inc covid hosp,hosp,2025-08-02,2025-07-26,2025-07-23,"August 02, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
Alaska,2,0.421519408861181,1.8265841050651177,4.355700558232203,3,13,31,0.42,1.83,4.36,3,13,31,wk inc covid hosp,hosp,2025-08-09,2025-07-26,2025-07-23,"August 09, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
Arizona,0,0.63602377188409,1.1106745626465118,1.9152835037710851,47.1550950184215,82.3459229849112,142,0.64,1.11,1.92,47,82,142,wk inc covid hosp,hosp,2025-07-26,2025-07-26,2025-07-23,"July 26, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
Arizona,1,0.57167824594173,1.1047546641385877,2.5087516317001537,42.384488126113,81.9070189863804,186,0.57,1.1,2.51,42,82,186,wk inc covid hosp,hosp,2025-08-02,2025-07-26,2025-07-23,"August 02, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
Arizona,2,0.46277251201211456,1.251624598778992,3.3181303790618375,34.3101669159337,92.7960235007899,246.007712643619,0.46,1.25,3.32,34,93,246,wk inc covid hosp,hosp,2025-08-09,2025-07-26,2025-07-23,"August 09, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
Arkansas,0,0.21590341276777952,0.6155006958465863,1.2833953546827783,6.6152287503857,18.8587936005724,39.3229256525952,0.22,0.62,1.28,7,19,39,wk inc covid hosp,hosp,2025-07-26,2025-07-26,2025-07-23,"July 26, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
Arkansas,1,0.18753249688058785,0.7312756652408537,1.6289715957180866,5.74595069662196,22.4061108768201,49.9112987396192,0.19,0.73,1.63,6,22,50,wk inc covid hosp,hosp,2025-08-02,2025-07-26,2025-07-23,"August 02, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
Arkansas,2,0.17281126897730498,0.8263237910688499,1.6971412308712601,5.29489580676007,25.3183626406397,52,0.17,0.83,1.7,5,25,52,wk inc covid hosp,hosp,2025-08-09,2025-07-26,2025-07-23,"August 09, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
California,0,1.2983202905749853,1.879655496428872,2.7525602133429725,504.114178350587,729.836075922961,1068.769116822,1.3,1.88,2.75,504,730,1069,wk inc covid hosp,hosp,2025-07-26,2025-07-26,2025-07-23,"July 26, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
California,1,1.1495515185896106,1.9756550667478543,3.244545488804717,446.349967317253,767.110964765629,1259.79805991134,1.15,1.98,3.24,446,767,1260,wk inc covid hosp,hosp,2025-08-02,2025-07-26,2025-07-23,"August 02, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
California,2,0.9817206470095884,2.060875616434066,4.178190435594217,381.184289369667,800.200555751397,1622.31542842102,0.98,2.06,4.18,381,800,1622,wk inc covid hosp,hosp,2025-08-09,2025-07-26,2025-07-23,"August 09, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
Colorado,0,0.413853721959892,0.8122099143346151,1.3596217204414685,24.1827848904151,47.46,79.4470071262488,0.41,0.81,1.36,24,47,79,wk inc covid hosp,hosp,2025-07-26,2025-07-26,2025-07-23,"July 26, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
Colorado,1,0.3769812427377909,0.9334347375275499,1.6685728328618832,22.0282090437086,54.5435507018527,97.5,0.38,0.93,1.67,22,55,98,wk inc covid hosp,hosp,2025-08-02,2025-07-26,2025-07-23,"August 02, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
Colorado,2,0.34486030900458936,1.0027356753237742,1.9851738319177277,20.1512810623177,58.5930241812589,116,0.34,1,1.99,20,59,116,wk inc covid hosp,hosp,2025-08-09,2025-07-26,2025-07-23,"August 09, 2025","July 23, 2025","July 26, 2025",CovidHub-ensemble
