location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
US,0,0.9991022188174702,1.4764823532270286,1.8235249829021787,3335.5,4929.23226115714,6087.83312248997,1,1.48,1.82,3336,4929,6088,wk inc covid hosp,2025-12-20,2025-12-20,2025-12-17,"December 20, 2025","December 17, 2025","December 20, 2025",CovidHub-ensemble
US,1,1.0260069464234063,1.6306589679724581,2.264731586239083,3425.32135885537,5443.9504639573,7560.80015,1.03,1.63,2.26,3425,5444,7561,wk inc covid hosp,2025-12-27,2025-12-20,2025-12-17,"December 27, 2025","December 17, 2025","December 20, 2025",CovidHub-ensemble
US,2,0.8768486902905572,1.7732067178025674,2.998334364356102,2927.35693243264,5919.84573333333,10009.931,0.88,1.77,3,2927,5920,10010,wk inc covid hosp,2026-01-03,2025-12-20,2025-12-17,"January 03, 2026","December 17, 2025","December 20, 2025",CovidHub-ensemble
Alabama,0,0.7297893949437758,1.2159178496044718,1.9578758498760438,37.2,61.979722257777,99.8,0.73,1.22,1.96,37,62,100,wk inc covid hosp,2025-12-20,2025-12-20,2025-12-17,"December 20, 2025","December 17, 2025","December 20, 2025",CovidHub-ensemble
Alabama,1,0.7690253839192476,1.3928776086292496,2.573769446582261,39.2,71,131.19432,0.77,1.39,2.57,39,71,131,wk inc covid hosp,2025-12-27,2025-12-20,2025-12-17,"December 27, 2025","December 17, 2025","December 20, 2025",CovidHub-ensemble
Alabama,2,0.7365800039145393,1.6136545001023237,3.2860140766957646,37.5461418533382,82.2537951629608,167.5,0.74,1.61,3.29,38,82,168,wk inc covid hosp,2026-01-03,2025-12-20,2025-12-17,"January 03, 2026","December 17, 2025","December 20, 2025",CovidHub-ensemble
Alaska,0,0.33627224609225514,1.231979578577778,2.7654679839528686,2.39328656538565,8.76813417849169,19.6821398432708,0.34,1.23,2.77,2,9,20,wk inc covid hosp,2025-12-20,2025-12-20,2025-12-17,"December 20, 2025","December 17, 2025","December 20, 2025",CovidHub-ensemble
Alaska,1,0.3080835608800496,1.3561246381423147,3.5126617405098415,2.19266459197501,9.65168822336905,25,0.31,1.36,3.51,2,10,25,wk inc covid hosp,2025-12-27,2025-12-20,2025-12-17,"December 27, 2025","December 17, 2025","December 20, 2025",CovidHub-ensemble
Alaska,2,0.28101293924078735,1.5455711658243305,4.777443430924449,2,11,34.0015904166667,0.28,1.55,4.78,2,11,34,wk inc covid hosp,2026-01-03,2025-12-20,2025-12-17,"January 03, 2026","December 17, 2025","December 20, 2025",CovidHub-ensemble
Arizona,0,0.6714282592797509,1.0556378775277804,1.7170594781866069,49.78,78.2654778333333,127.303579560115,0.67,1.06,1.72,50,78,127,wk inc covid hosp,2025-12-20,2025-12-20,2025-12-17,"December 20, 2025","December 17, 2025","December 20, 2025",CovidHub-ensemble
