location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,1.9269897614173255,2.9371073854774252,4.0963430600290085,6433.25,9805.5249,13675.63,1.93,2.94,4.1,6433,9806,13676,wk inc covid hosp,hosp,2025-09-06,2025-09-06,2025-09-03,"September 06, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
United States,1,1.8805938908118733,2.862325595332827,4.794559902047425,6278.3575140363,9555.8661,16006.625,1.88,2.86,4.79,6278,9556,16007,wk inc covid hosp,hosp,2025-09-13,2025-09-06,2025-09-03,"September 13, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
United States,2,1.6473227636995142,2.7291504365598938,5.341493108438215,5499.5825,9111.2612,17832.56,1.65,2.73,5.34,5500,9111,17833,wk inc covid hosp,hosp,2025-09-20,2025-09-06,2025-09-03,"September 20, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Alabama,0,2.334541344040573,4.355194776277371,6.673657171730352,119,222,340.180397945486,2.33,4.36,6.67,119,222,340,wk inc covid hosp,hosp,2025-09-06,2025-09-06,2025-09-03,"September 06, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Alabama,1,2.240164612354275,4.6106210645076935,7.416386636143683,114.189277285948,235.02,378.04,2.24,4.61,7.42,114,235,378,wk inc covid hosp,hosp,2025-09-13,2025-09-06,2025-09-03,"September 13, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Alabama,2,2.3105515195934525,4.485669020305939,7.692411818586127,117.777152044664,228.650743230157,392.11,2.31,4.49,7.69,118,229,392,wk inc covid hosp,hosp,2025-09-20,2025-09-06,2025-09-03,"September 20, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Alaska,0,0.9536920132617902,1.790584785955971,3.6531682101302354,6.78753096450562,12.7437888859751,26,0.95,1.79,3.65,7,13,26,wk inc covid hosp,hosp,2025-09-06,2025-09-06,2025-09-03,"September 06, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Alaska,1,0.7640338118812664,1.686077635444724,4.21519408861181,5.43771268287828,12,30,0.76,1.69,4.22,5,12,30,wk inc covid hosp,hosp,2025-09-13,2025-09-06,2025-09-03,"September 13, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Alaska,2,0.6948044922728467,1.599608829988577,4.8542385181625685,4.945,11.384592,34.5481495,0.69,1.6,4.85,5,11,35,wk inc covid hosp,hosp,2025-09-20,2025-09-06,2025-09-03,"September 20, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Arizona,0,1.623944604605906,2.4584417199461672,3.6272759839903883,120.4,182.27,268.92791,1.62,2.46,3.63,120,182,269,wk inc covid hosp,hosp,2025-09-06,2025-09-06,2025-09-03,"September 06, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Arizona,1,1.5119274954592945,2.5171141371391546,4.02936999581605,112.095,186.62,298.739345,1.51,2.52,4.03,112,187,299,wk inc covid hosp,hosp,2025-09-13,2025-09-06,2025-09-03,"September 13, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Arizona,2,1.4063140390456572,2.511179455859864,4.808762988522057,104.264769759303,186.18,356.5239,1.41,2.51,4.81,104,186,357,wk inc covid hosp,hosp,2025-09-20,2025-09-06,2025-09-03,"September 20, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Arkansas,0,0.6531821436608283,1.4360425799679892,2.2519758640407104,20.0133441180533,44,69,0.65,1.44,2.25,20,44,69,wk inc covid hosp,hosp,2025-09-06,2025-09-06,2025-09-03,"September 06, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Arkansas,1,0.7323817157836746,1.501317242693807,2.56366237855649,22.44,46,78.55,0.73,1.5,2.56,22,46,79,wk inc covid hosp,hosp,2025-09-13,2025-09-06,2025-09-03,"September 13, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Arkansas,2,0.615234834909353,1.521715574795625,3.048746220597028,18.8506476852622,46.625,93.4128525,0.62,1.52,3.05,19,47,93,wk inc covid hosp,hosp,2025-09-20,2025-09-06,2025-09-03,"September 20, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
California,0,2.7354619779861964,3.9227309666458505,5.342835340043648,1062.1301827079,1523.12515832692,2074.52588322082,2.74,3.92,5.34,1062,1523,2075,wk inc covid hosp,hosp,2025-09-06,2025-09-06,2025-09-03,"September 06, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
California,1,2.6350854481138093,4.26895896138117,6.231314633496113,1023.1558,1657.55919771998,2419.50624919965,2.64,4.27,6.23,1023,1658,2420,wk inc covid hosp,hosp,2025-09-13,2025-09-06,2025-09-03,"September 13, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
California,2,2.084226037566579,4.001812529732385,6.896907567526454,809.2671,1553.83109236142,2677.94389166002,2.08,4,6.9,809,1554,2678,wk inc covid hosp,hosp,2025-09-20,2025-09-06,2025-09-03,"September 20, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Colorado,0,0.9925869159588638,1.8140381567524064,2.5674629666677333,58,106,150.025,0.99,1.81,2.57,58,106,150,wk inc covid hosp,hosp,2025-09-06,2025-09-06,2025-09-03,"September 06, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Colorado,1,0.889905510859671,1.887157071916516,3.1831235580749766,52,110.27257,186,0.89,1.89,3.18,52,110,186,wk inc covid hosp,hosp,2025-09-13,2025-09-06,2025-09-03,"September 13, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Colorado,2,0.9412462134092674,1.949109897683114,3.755058984477481,55,113.89267,219.42,0.94,1.95,3.76,55,114,219,wk inc covid hosp,hosp,2025-09-20,2025-09-06,2025-09-03,"September 20, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Connecticut,0,1.1612695088026517,2.0070181965958755,3.2527536289657295,41.9488171711603,72.5,117.5,1.16,2.01,3.25,42,72,118,wk inc covid hosp,hosp,2025-09-06,2025-09-06,2025-09-03,"September 06, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Connecticut,1,1.149760781086237,2.2328756186112404,4.4872159739276984,41.5330846377656,80.6587018612423,162.092779558024,1.15,2.23,4.49,42,81,162,wk inc covid hosp,hosp,2025-09-13,2025-09-06,2025-09-03,"September 13, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Connecticut,2,0.9954810255115544,2.021690191688232,6.395850040910699,35.96,73.03,231.038826031827,1,2.02,6.4,36,73,231,wk inc covid hosp,hosp,2025-09-20,2025-09-06,2025-09-03,"September 20, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Delaware,0,0.7292584316859871,1.7545904387413194,2.9850978470346408,7.5,18.044945,30.7,0.73,1.75,2.99,8,18,31,wk inc covid hosp,hosp,2025-09-06,2025-09-06,2025-09-03,"September 06, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Delaware,1,0.6981951487458029,1.8109917720202016,3.4829382697322746,7.18053215166431,18.625,35.82,0.7,1.81,3.48,7,19,36,wk inc covid hosp,hosp,2025-09-13,2025-09-06,2025-09-03,"September 13, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Delaware,2,0.6806412029069213,1.7020190650963787,3.64920919215668,7,17.5042789134585,37.53,0.68,1.7,3.65,7,18,38,wk inc covid hosp,hosp,2025-09-20,2025-09-06,2025-09-03,"September 20, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
District of Columbia,0,2.2196605695057112,4.4393211390114224,7.6948233076197985,15,30,52,2.22,4.44,7.69,15,30,52,wk inc covid hosp,hosp,2025-09-06,2025-09-06,2025-09-03,"September 06, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
District of Columbia,1,2.0716831982053305,5.031230624212945,9.101161920432672,14,34,61.5037410142807,2.07,5.03,9.1,14,34,62,wk inc covid hosp,hosp,2025-09-13,2025-09-06,2025-09-03,"September 13, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
District of Columbia,2,2.3802160173666245,5.29758989255363,11.160248199850795,16.085,35.8,75.4186136824697,2.38,5.3,11.16,16,36,75,wk inc covid hosp,hosp,2025-09-20,2025-09-06,2025-09-03,"September 20, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Florida,0,3.6204566285749786,5.214894448053088,7.66713648017329,816.441643760156,1176,1729,3.62,5.21,7.67,816,1176,1729,wk inc covid hosp,hosp,2025-09-06,2025-09-06,2025-09-03,"September 06, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Florida,1,3.2410082537234164,5.050820388037812,8.21663691457045,730.87303,1139,1852.9167,3.24,5.05,8.22,731,1139,1853,wk inc covid hosp,hosp,2025-09-13,2025-09-06,2025-09-03,"September 13, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Florida,2,2.5165944282577746,4.742627221252362,8.171275093131984,567.511975,1069.5,1842.68725,2.52,4.74,8.17,568,1070,1843,wk inc covid hosp,hosp,2025-09-20,2025-09-06,2025-09-03,"September 20, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Georgia,0,2.285468577563984,3.380765517595246,4.739177973175706,250.77,370.95,520,2.29,3.38,4.74,251,371,520,wk inc covid hosp,hosp,2025-09-06,2025-09-06,2025-09-03,"September 06, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Georgia,1,2.059719657572518,3.3265383850175625,5.358916631206375,226,365,588,2.06,3.33,5.36,226,365,588,wk inc covid hosp,hosp,2025-09-13,2025-09-06,2025-09-03,"September 13, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
Georgia,2,1.7531312979232285,3.1390674409632853,6.553052773389735,192.36,344.43,719.025,1.75,3.14,6.55,192,344,719,wk inc covid hosp,hosp,2025-09-20,2025-09-06,2025-09-03,"September 20, 2025","September 03, 2025","September 06, 2025",CovidHub-ensemble
