location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,2.10037576318477,3.0151563641849823,3.6719785786014305,7012.098688355249,10066.091199999999,12258.89035,2.1,3.02,3.67,7012,10066,12259,wk inc covid hosp,hosp,2026-01-17,2026-01-17,2026-01-14,"January 17, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
United States,1,1.9828076510175772,3.086874103571222,4.096609047967942,6619.597870373064,10305.520675,13676.518,1.98,3.09,4.1,6620,10306,13677,wk inc covid hosp,hosp,2026-01-24,2026-01-17,2026-01-14,"January 24, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
United States,2,1.6828351947653681,2.9940087005533456,4.76891213485023,5618.140653099043,9995.48978333333,15921,1.68,2.99,4.77,5618,9995,15921,wk inc covid hosp,hosp,2026-01-31,2026-01-17,2026-01-14,"January 31, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
United States,0,NA,NA,NA,0.005491239894693238,0.0070996654743042155,0.010432857589344416,NA,NA,NA,0.0055,0.0071,0.0104,wk inc covid prop ed visits,prop_ed,2026-01-17,2026-01-17,2026-01-14,"January 17, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
United States,1,NA,NA,NA,0.003924776839029415,0.006485858229262787,0.010156145963177297,NA,NA,NA,0.0039,0.0065,0.0102,wk inc covid prop ed visits,prop_ed,2026-01-24,2026-01-17,2026-01-14,"January 24, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
United States,2,NA,NA,NA,0.0037806715297347008,0.006376153834370276,0.011782944273611942,NA,NA,NA,0.0038,0.0064,0.0118,wk inc covid prop ed visits,prop_ed,2026-01-31,2026-01-17,2026-01-14,"January 31, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
Alabama,0,1.5511749707348568,2.4948278138432807,3.413531040866048,79.068988,127.17038,174,1.55,2.49,3.41,79,127,174,wk inc covid hosp,hosp,2026-01-17,2026-01-17,2026-01-14,"January 17, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
Alabama,1,1.357958837627697,2.5448562501262906,4.268646069995827,69.22006418528755,129.72051,217.5883,1.36,2.54,4.27,69,130,218,wk inc covid hosp,hosp,2026-01-24,2026-01-17,2026-01-14,"January 24, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
Alabama,2,1.3918237092757464,2.905950030345527,5.148514692210342,70.94627894537528,148.12676352632104,262.43838,1.39,2.91,5.15,71,148,262,wk inc covid hosp,hosp,2026-01-31,2026-01-17,2026-01-14,"January 31, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
Alabama,0,NA,NA,NA,0.0025656106153403102,0.0037419529504312513,0.005810911090671573,NA,NA,NA,0.0026,0.0037,0.0058,wk inc covid prop ed visits,prop_ed,2026-01-17,2026-01-17,2026-01-14,"January 17, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
Alabama,1,NA,NA,NA,0.0022175428401754573,0.003178751308073054,0.0061727772965935405,NA,NA,NA,0.0022,0.0032,0.0062,wk inc covid prop ed visits,prop_ed,2026-01-24,2026-01-17,2026-01-14,"January 24, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
Alabama,2,NA,NA,NA,0.0019781306936159796,0.0034604657058127253,0.006964040077986452,NA,NA,NA,0.002,0.0035,0.007,wk inc covid prop ed visits,prop_ed,2026-01-31,2026-01-17,2026-01-14,"January 31, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
Alaska,0,0.5096707750272795,1.5405638113413196,2.950635862028267,3.627382969654401,10.964362107335418,21,0.51,1.54,2.95,4,11,21,wk inc covid hosp,hosp,2026-01-17,2026-01-17,2026-01-14,"January 17, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
Alaska,1,0.4413880600433361,1.5455711658243305,3.6531682101302354,3.1414073760150276,11,26,0.44,1.55,3.65,3,11,26,wk inc covid hosp,hosp,2026-01-24,2026-01-17,2026-01-14,"January 24, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
Alaska,2,0.3960383638864652,1.5576113837717216,4.477834690703889,2.8186486,11.085691555555556,31.869242055555556,0.4,1.56,4.48,3,11,32,wk inc covid hosp,hosp,2026-01-31,2026-01-17,2026-01-14,"January 31, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
Alaska,0,NA,NA,NA,0.0022665210122841195,0.003899777884483525,0.006421944633577152,NA,NA,NA,0.0023,0.0039,0.0064,wk inc covid prop ed visits,prop_ed,2026-01-17,2026-01-17,2026-01-14,"January 17, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
Alaska,1,NA,NA,NA,0.0019502555973398689,0.00383278901971078,0.007620830217359554,NA,NA,NA,0.002,0.0038,0.0076,wk inc covid prop ed visits,prop_ed,2026-01-24,2026-01-17,2026-01-14,"January 24, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
Alaska,2,NA,NA,NA,0.0018027511307333781,0.0036334381378019844,0.007764254395724679,NA,NA,NA,0.0018,0.0036,0.0078,wk inc covid prop ed visits,prop_ed,2026-01-31,2026-01-17,2026-01-14,"January 31, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
Arizona,0,0.7569788401087462,1.3062380030478975,2.052860206154642,56.12275941592889,96.84508641545253,152.2,0.76,1.31,2.05,56,97,152,wk inc covid hosp,hosp,2026-01-17,2026-01-17,2026-01-14,"January 17, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
Arizona,1,0.6664377318403474,1.405847114659452,2.4271122976876893,49.41,104.23015177052451,179.94722222222222,0.67,1.41,2.43,49,104,180,wk inc covid hosp,hosp,2026-01-24,2026-01-17,2026-01-14,"January 24, 2026","January 14, 2026","January 17, 2026",CovidHub-ensemble
