location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
US,0,1.8109944580933666,2.6949120993571287,3.5971274309036123,6046,8996.95660574638,12009,1.81,2.69,3.6,6046,8997,12009,wk inc covid hosp,2025-03-08,2025-03-08,2025-03-05,"March 08, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
US,1,1.4403838747540014,2.345067087729568,3.8476701458259406,4808.71759040674,7829,12845.4361622703,1.44,2.35,3.85,4809,7829,12845,wk inc covid hosp,2025-03-15,2025-03-08,2025-03-05,"March 15, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
US,2,1.229318025502783,2.251412175297569,4.056166300739551,4104.07483522329,7516.33333333333,13541.5,1.23,2.25,4.06,4104,7516,13542,wk inc covid hosp,2025-03-22,2025-03-08,2025-03-05,"March 22, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Alabama,0,2.314923349552837,3.6142574391168885,5.1438282245484475,118,184.231749141143,262.199493825125,2.31,3.61,5.14,118,184,262,wk inc covid hosp,2025-03-08,2025-03-08,2025-03-05,"March 08, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Alabama,1,1.8048554928717035,3.3392573137354797,5.198768539250016,92,170.214,265,1.8,3.34,5.2,92,170,265,wk inc covid hosp,2025-03-15,2025-03-08,2025-03-05,"March 15, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Alabama,2,1.426710204136099,3.015409239657972,5.494730508590622,72.7245695286539,153.706294572722,280.08625,1.43,3.02,5.49,73,154,280,wk inc covid hosp,2025-03-22,2025-03-08,2025-03-05,"March 22, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Alaska,0,1.0322731577892683,2.1262686835539006,3.6531682101302354,7.34680161403358,15.1328881104083,26,1.03,2.13,3.65,7,15,26,wk inc covid hosp,2025-03-08,2025-03-08,2025-03-05,"March 08, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Alaska,1,1.1240517569631494,2.248103513926299,3.934181149371023,8,16,28,1.12,2.25,3.93,8,16,28,wk inc covid hosp,2025-03-15,2025-03-08,2025-03-05,"March 15, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Alaska,2,0.6565689635398989,1.986901986901987,3.9517444580735717,4.67287353609945,14.141,28.125,0.66,1.99,3.95,5,14,28,wk inc covid hosp,2025-03-22,2025-03-08,2025-03-05,"March 22, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Arizona,0,2.171553831740456,3.2370988796131015,4.807075085507387,161,240,356.398758094057,2.17,3.24,4.81,161,240,356,wk inc covid hosp,2025-03-08,2025-03-08,2025-03-05,"March 08, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Arizona,1,1.6803650633335427,3.0212922876388952,5.01979468204392,124.583038763478,224,372.16988683229,1.68,3.02,5.02,125,224,372,wk inc covid hosp,2025-03-15,2025-03-08,2025-03-05,"March 15, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Arizona,2,1.2925650534441748,2.8587200750854795,5.251199462859726,95.8313676422757,211.946821378072,389.326343728173,1.29,2.86,5.25,96,212,389,wk inc covid hosp,2025-03-22,2025-03-08,2025-03-05,"March 22, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Arkansas,0,1.724486688695006,3.001323552577869,4.502972608140534,52.8378582648097,91.9598333333333,137.97,1.72,3,4.5,53,92,138,wk inc covid hosp,2025-03-08,2025-03-08,2025-03-05,"March 08, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Arkansas,1,1.3575042387912077,2.7276704082103356,4.964047457918535,41.5936040755453,83.5751666666667,152.097222739234,1.36,2.73,4.96,42,84,152,wk inc covid hosp,2025-03-15,2025-03-08,2025-03-05,"March 15, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Arkansas,2,1.0657668294869085,2.317250526766528,4.998889198528056,32.6548398714398,71,153.164765309492,1.07,2.32,5,33,71,153,wk inc covid hosp,2025-03-22,2025-03-08,2025-03-05,"March 22, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
California,0,0.997797570560196,1.5323920771672472,2.281847698101145,387.426666666667,595,886,1,1.53,2.28,387,595,886,wk inc covid hosp,2025-03-08,2025-03-08,2025-03-05,"March 08, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
California,1,0.7751457234040542,1.3924593552746647,2.3972278074407964,300.975,540.666666666667,930.8,0.78,1.39,2.4,301,541,931,wk inc covid hosp,2025-03-15,2025-03-08,2025-03-05,"March 15, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
California,2,0.6905808597842449,1.3616784488730775,2.5458326357119825,268.14,528.715,988.500554667972,0.69,1.36,2.55,268,529,989,wk inc covid hosp,2025-03-22,2025-03-08,2025-03-05,"March 22, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Colorado,0,0.7869959248602583,1.3177446987729744,2.1049688045334523,45.9866666666667,77,123,0.79,1.32,2.1,46,77,123,wk inc covid hosp,2025-03-08,2025-03-08,2025-03-05,"March 08, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Colorado,1,0.5038918819567721,1.2130915234792858,2.2336110456371783,29.444,70.8847832170241,130.516973943595,0.5,1.21,2.23,29,71,131,wk inc covid hosp,2025-03-15,2025-03-08,2025-03-05,"March 15, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Colorado,2,0.4233576385673257,1.1011035393901785,2.427212213299894,24.7381288652031,64.340970304788,141.829703885829,0.42,1.1,2.43,25,64,142,wk inc covid hosp,2025-03-22,2025-03-08,2025-03-05,"March 22, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Connecticut,0,1.789706571171357,2.9067160088629924,4.484647556531474,64.65,105,162,1.79,2.91,4.48,65,105,162,wk inc covid hosp,2025-03-08,2025-03-08,2025-03-05,"March 08, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Connecticut,1,1.4118334900191678,2.6852519319972403,4.665883362756221,51,97,168.54682452485,1.41,2.69,4.67,51,97,169,wk inc covid hosp,2025-03-15,2025-03-08,2025-03-05,"March 15, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Connecticut,2,1.1765279083493063,2.4582788998922607,5.00370398668558,42.5,88.8009986877441,180.75,1.18,2.46,5,42,89,181,wk inc covid hosp,2025-03-22,2025-03-08,2025-03-05,"March 22, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Delaware,0,1.1181962619185137,2.292497780821699,3.8994663702523917,11.5,23.5770100270383,40.1037499275511,1.12,2.29,3.9,12,24,40,wk inc covid hosp,2025-03-08,2025-03-08,2025-03-05,"March 08, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Delaware,1,0.8845890727150436,2.1391580662788954,3.9524481722669536,9.09748555121205,22,40.6486370318257,0.88,2.14,3.95,9,22,41,wk inc covid hosp,2025-03-15,2025-03-08,2025-03-05,"March 15, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
Delaware,2,0.7520436424470996,1.9925998910919722,3.992605633648451,7.7343326772558,20.4927341719441,41.0616332308068,0.75,1.99,3.99,8,20,41,wk inc covid hosp,2025-03-22,2025-03-08,2025-03-05,"March 22, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
District of Columbia,0,2.0716831982053305,3.680465658203155,6.608669402275004,14,24.8718140203487,44.66,2.07,3.68,6.61,14,25,45,wk inc covid hosp,2025-03-08,2025-03-08,2025-03-05,"March 08, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
District of Columbia,1,1.6073880105648441,3.5021311207756827,6.535667232433488,10.862390623915,23.6666666666667,44.1666666666667,1.61,3.5,6.54,11,24,44,wk inc covid hosp,2025-03-15,2025-03-08,2025-03-05,"March 15, 2025","March 05, 2025","March 08, 2025",CovidHub-ensemble
