location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,0.34596404219282806,0.614947340798161,1.0903109208501247,1155,2053,3640,0.35,0.61,1.09,1200,2100,3600,wk inc rsv hosp,hosp,2025-11-29,2025-11-29,2025-11-26,"November 29, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
United States,1,0.39585917255393627,0.7146928178979115,1.4476573297990805,1321.574755,2386,4833,0.4,0.71,1.45,1300,2400,4800,wk inc rsv hosp,hosp,2025-12-06,2025-11-29,2025-11-26,"December 06, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
United States,2,0.41702062781995886,0.7070142300512031,1.288220984620813,1392.2222149999998,2360.3650556666666,4300.7222016666665,0.42,0.71,1.29,1400,2400,4300,wk inc rsv hosp,hosp,2025-12-13,2025-11-29,2025-11-26,"December 13, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
United States,0,NA,NA,NA,0.0013843077392707561,0.0021524596319585495,0.0034775869785316927,NA,NA,NA,0.0014,0.0022,0.0035,wk inc rsv prop ed visits,prop_ed,2025-11-29,2025-11-29,2025-11-26,"November 29, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
United States,1,NA,NA,NA,0.001388744627291022,0.002498050672236534,0.004567467154406613,NA,NA,NA,0.0014,0.0025,0.0046,wk inc rsv prop ed visits,prop_ed,2025-12-06,2025-11-29,2025-11-26,"December 06, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
United States,2,NA,NA,NA,9.048242607121002e-4,0.0025826250843445286,0.006396448402127606,NA,NA,NA,9e-4,0.0026,0.0064,wk inc rsv prop ed visits,prop_ed,2025-12-13,2025-11-29,2025-11-26,"December 13, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
Alabama,0,0.6275305986764523,1.2163156582396264,2.4620583082108563,31.9875,62,125.5,0.63,1.22,2.46,30,60,130,wk inc rsv hosp,hosp,2025-11-29,2025-11-29,2025-11-26,"November 29, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
Alabama,1,0.657202815339153,1.4419225948485892,3.4821940215731235,33.5,73.5,177.5,0.66,1.44,3.48,30,70,180,wk inc rsv hosp,hosp,2025-12-06,2025-11-29,2025-11-26,"December 06, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
Alabama,2,0.33350590629151045,1.3732596141415137,4.9241166164217125,17,70,251,0.33,1.37,4.92,20,70,250,wk inc rsv hosp,hosp,2025-12-13,2025-11-29,2025-11-26,"December 13, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
Alabama,0,NA,NA,NA,0.0035409076250876126,0.005405252778284577,0.008378812926193621,NA,NA,NA,0.0035,0.0054,0.0084,wk inc rsv prop ed visits,prop_ed,2025-11-29,2025-11-29,2025-11-26,"November 29, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
Alabama,1,NA,NA,NA,0.0036538346312262457,0.006403989879113546,0.011567838958588001,NA,NA,NA,0.0037,0.0064,0.012,wk inc rsv prop ed visits,prop_ed,2025-12-06,2025-11-29,2025-11-26,"December 06, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
Alabama,2,NA,NA,NA,0.0021568715097851315,0.005516225722275739,0.012818295265927905,NA,NA,NA,0.0022,0.0055,0.013,wk inc rsv prop ed visits,prop_ed,2025-12-13,2025-11-29,2025-11-26,"December 13, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
Alaska,0,0,0.3512661740509842,1.3348114613937399,0,2.5,9.5,0,0.35,1.33,0,2,10,wk inc rsv hosp,hosp,2025-11-29,2025-11-29,2025-11-26,"November 29, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
Alaska,1,0,0.421519408861181,1.8265841050651177,0,3,13,0,0.42,1.83,0,3,10,wk inc rsv hosp,hosp,2025-12-06,2025-11-29,2025-11-26,"December 06, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
Alaska,2,0,0.5620258784815747,2.8101293924078736,0,4,20,0,0.56,2.81,0,4,20,wk inc rsv hosp,hosp,2025-12-13,2025-11-29,2025-11-26,"December 13, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
Alaska,0,NA,NA,NA,1.3525373631143367e-4,7.062617330176999e-4,0.0017092955810638858,NA,NA,NA,1.4e-4,7.1e-4,0.0017,wk inc rsv prop ed visits,prop_ed,2025-11-29,2025-11-29,2025-11-26,"November 29, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
Alaska,1,NA,NA,NA,1.4543290922838385e-4,7.67660067827716e-4,0.0022749934352938187,NA,NA,NA,1.5e-4,7.7e-4,0.0023,wk inc rsv prop ed visits,prop_ed,2025-12-06,2025-11-29,2025-11-26,"December 06, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
Alaska,2,NA,NA,NA,3.19732959712555e-4,0.0010877297807595086,0.002752889232199104,NA,NA,NA,3.2e-4,0.0011,0.0028,wk inc rsv prop ed visits,prop_ed,2025-12-13,2025-11-29,2025-11-26,"December 13, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
Arizona,0,0.006743955999193963,0.09441538398871548,0.3776615359548619,0.5,7,28,0.01,0.09,0.38,0,7,30,wk inc rsv hosp,hosp,2025-11-29,2025-11-29,2025-11-26,"November 29, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
Arizona,1,0.013487911998387926,0.11464725198629735,0.5192846119379351,1,8.5,38.5,0.01,0.11,0.52,1,8,40,wk inc rsv hosp,hosp,2025-12-06,2025-11-29,2025-11-26,"December 06, 2025","November 26, 2025","November 29, 2025",RSVHub-ensemble
