week_ending_date,location,location_name,target,target_data_type,value
2020-08-08,02,Alaska,wk inc covid hosp,hosp,49
2020-08-08,01,Alabama,wk inc covid hosp,hosp,1742
2020-08-08,05,Arkansas,wk inc covid hosp,hosp,444
2020-08-08,04,Arizona,wk inc covid hosp,hosp,1658
2020-08-08,06,California,wk inc covid hosp,hosp,4836
2020-08-08,08,Colorado,wk inc covid hosp,hosp,316
2020-08-08,09,Connecticut,wk inc covid hosp,hosp,101
2020-08-08,11,District of Columbia,wk inc covid hosp,hosp,101
2020-08-08,10,Delaware,wk inc covid hosp,hosp,7
2020-08-08,12,Florida,wk inc covid hosp,hosp,6733
2020-08-08,13,Georgia,wk inc covid hosp,hosp,1316
2020-08-08,15,Hawaii,wk inc covid hosp,hosp,218
2020-08-08,19,Iowa,wk inc covid hosp,hosp,366
2020-08-08,16,Idaho,wk inc covid hosp,hosp,145
2020-08-08,17,Illinois,wk inc covid hosp,hosp,633
2020-08-08,18,Indiana,wk inc covid hosp,hosp,407
2020-08-08,20,Kansas,wk inc covid hosp,hosp,166
2020-08-08,21,Kentucky,wk inc covid hosp,hosp,1090
2020-08-08,22,Louisiana,wk inc covid hosp,hosp,1476
2020-08-08,25,Massachusetts,wk inc covid hosp,hosp,171
2020-08-08,24,Maryland,wk inc covid hosp,hosp,387
2020-08-08,23,Maine,wk inc covid hosp,hosp,11
2020-08-08,26,Michigan,wk inc covid hosp,hosp,242
2020-08-08,27,Minnesota,wk inc covid hosp,hosp,136
2020-08-08,29,Missouri,wk inc covid hosp,hosp,427
2020-08-08,28,Mississippi,wk inc covid hosp,hosp,766
2020-08-08,30,Montana,wk inc covid hosp,hosp,88
2020-08-08,37,North Carolina,wk inc covid hosp,hosp,1008
2020-08-08,38,North Dakota,wk inc covid hosp,hosp,96
2020-08-08,31,Nebraska,wk inc covid hosp,hosp,69
2020-08-08,33,New Hampshire,wk inc covid hosp,hosp,12
2020-08-08,34,New Jersey,wk inc covid hosp,hosp,180
2020-08-08,35,New Mexico,wk inc covid hosp,hosp,60
2020-08-08,32,Nevada,wk inc covid hosp,hosp,760
2020-08-08,36,New York,wk inc covid hosp,hosp,517
2020-08-08,39,Ohio,wk inc covid hosp,hosp,449
2020-08-08,40,Oklahoma,wk inc covid hosp,hosp,349
2020-08-08,41,Oregon,wk inc covid hosp,hosp,89
2020-08-08,42,Pennsylvania,wk inc covid hosp,hosp,626
2020-08-08,72,Puerto Rico,wk inc covid hosp,hosp,182
2020-08-08,44,Rhode Island,wk inc covid hosp,hosp,47
2020-08-08,45,South Carolina,wk inc covid hosp,hosp,943
2020-08-08,46,South Dakota,wk inc covid hosp,hosp,47
2020-08-08,47,Tennessee,wk inc covid hosp,hosp,1402
2020-08-08,48,Texas,wk inc covid hosp,hosp,6540
2020-08-08,US,United States,wk inc covid hosp,hosp,38955
2020-08-08,49,Utah,wk inc covid hosp,hosp,128
2020-08-08,51,Virginia,wk inc covid hosp,hosp,333
2020-08-08,50,Vermont,wk inc covid hosp,hosp,3
2020-08-08,53,Washington,wk inc covid hosp,hosp,192
2020-08-08,55,Wisconsin,wk inc covid hosp,hosp,673
2020-08-08,54,West Virginia,wk inc covid hosp,hosp,96
2020-08-08,56,Wyoming,wk inc covid hosp,hosp,117
2020-08-15,02,Alaska,wk inc covid hosp,hosp,48
2020-08-15,01,Alabama,wk inc covid hosp,hosp,1784
2020-08-15,05,Arkansas,wk inc covid hosp,hosp,408
2020-08-15,04,Arizona,wk inc covid hosp,hosp,1473
2020-08-15,06,California,wk inc covid hosp,hosp,4273
2020-08-15,08,Colorado,wk inc covid hosp,hosp,256
2020-08-15,09,Connecticut,wk inc covid hosp,hosp,51
2020-08-15,11,District of Columbia,wk inc covid hosp,hosp,98
2020-08-15,10,Delaware,wk inc covid hosp,hosp,30
2020-08-15,12,Florida,wk inc covid hosp,hosp,5817
2020-08-15,13,Georgia,wk inc covid hosp,hosp,1548
2020-08-15,15,Hawaii,wk inc covid hosp,hosp,268
2020-08-15,19,Iowa,wk inc covid hosp,hosp,345
2020-08-15,16,Idaho,wk inc covid hosp,hosp,124
2020-08-15,17,Illinois,wk inc covid hosp,hosp,613
2020-08-15,18,Indiana,wk inc covid hosp,hosp,397
2020-08-15,20,Kansas,wk inc covid hosp,hosp,167
2020-08-15,21,Kentucky,wk inc covid hosp,hosp,1566
2020-08-15,22,Louisiana,wk inc covid hosp,hosp,1342
2020-08-15,25,Massachusetts,wk inc covid hosp,hosp,142
2020-08-15,24,Maryland,wk inc covid hosp,hosp,359
2020-08-15,23,Maine,wk inc covid hosp,hosp,6
2020-08-15,26,Michigan,wk inc covid hosp,hosp,389
2020-08-15,27,Minnesota,wk inc covid hosp,hosp,203
2020-08-15,29,Missouri,wk inc covid hosp,hosp,515
2020-08-15,28,Mississippi,wk inc covid hosp,hosp,791
2020-08-15,30,Montana,wk inc covid hosp,hosp,94
2020-08-15,37,North Carolina,wk inc covid hosp,hosp,782
2020-08-15,38,North Dakota,wk inc covid hosp,hosp,87
2020-08-15,31,Nebraska,wk inc covid hosp,hosp,130
2020-08-15,33,New Hampshire,wk inc covid hosp,hosp,10
2020-08-15,34,New Jersey,wk inc covid hosp,hosp,177
2020-08-15,35,New Mexico,wk inc covid hosp,hosp,55
2020-08-15,32,Nevada,wk inc covid hosp,hosp,577
2020-08-15,36,New York,wk inc covid hosp,hosp,490
2020-08-15,39,Ohio,wk inc covid hosp,hosp,573
2020-08-15,40,Oklahoma,wk inc covid hosp,hosp,463
2020-08-15,41,Oregon,wk inc covid hosp,hosp,87
2020-08-15,42,Pennsylvania,wk inc covid hosp,hosp,459
2020-08-15,72,Puerto Rico,wk inc covid hosp,hosp,265
2020-08-15,44,Rhode Island,wk inc covid hosp,hosp,58
2020-08-15,45,South Carolina,wk inc covid hosp,hosp,645
2020-08-15,46,South Dakota,wk inc covid hosp,hosp,93
2020-08-15,47,Tennessee,wk inc covid hosp,hosp,1331
2020-08-15,48,Texas,wk inc covid hosp,hosp,5823
2020-08-15,US,United States,wk inc covid hosp,hosp,36570
2020-08-15,49,Utah,wk inc covid hosp,hosp,126
2020-08-15,51,Virginia,wk inc covid hosp,hosp,421
2020-08-15,50,Vermont,wk inc covid hosp,hosp,5
2020-08-15,53,Washington,wk inc covid hosp,hosp,190
2020-08-15,55,Wisconsin,wk inc covid hosp,hosp,485
2020-08-15,54,West Virginia,wk inc covid hosp,hosp,74
2020-08-15,56,Wyoming,wk inc covid hosp,hosp,48
2020-08-22,02,Alaska,wk inc covid hosp,hosp,63
2020-08-22,01,Alabama,wk inc covid hosp,hosp,1903
2020-08-22,05,Arkansas,wk inc covid hosp,hosp,418
2020-08-22,04,Arizona,wk inc covid hosp,hosp,1292
2020-08-22,06,California,wk inc covid hosp,hosp,3498
2020-08-22,08,Colorado,wk inc covid hosp,hosp,147
2020-08-22,09,Connecticut,wk inc covid hosp,hosp,77
2020-08-22,11,District of Columbia,wk inc covid hosp,hosp,85
2020-08-22,10,Delaware,wk inc covid hosp,hosp,47
2020-08-22,12,Florida,wk inc covid hosp,hosp,5040
2020-08-22,13,Georgia,wk inc covid hosp,hosp,2427
2020-08-22,15,Hawaii,wk inc covid hosp,hosp,918
2020-08-22,19,Iowa,wk inc covid hosp,hosp,329
2020-08-22,16,Idaho,wk inc covid hosp,hosp,147
2020-08-22,17,Illinois,wk inc covid hosp,hosp,737
2020-08-22,18,Indiana,wk inc covid hosp,hosp,527
2020-08-22,20,Kansas,wk inc covid hosp,hosp,186
2020-08-22,21,Kentucky,wk inc covid hosp,hosp,1307
2020-08-22,22,Louisiana,wk inc covid hosp,hosp,1121
