location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
US,0,1.5691395329714277,2.3353605727877342,3.0604994450072094,5238.568,7796.59482665667,10217.4689501781,1.57,2.34,3.06,5239,7797,10217,wk inc covid hosp,2025-03-22,2025-03-22,2025-03-19,"March 22, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
US,1,1.1294444437714917,2.17283390655132,3.3606280416514887,3770.64715826446,7254,11219.4474417201,1.13,2.17,3.36,3771,7254,11219,wk inc covid hosp,2025-03-29,2025-03-22,2025-03-19,"March 29, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
US,2,0.9617937298703534,2.084321028224064,3.415684888859935,3210.94571262148,6958.5,11403.2545741686,0.96,2.08,3.42,3211,6958,11403,wk inc covid hosp,2025-04-05,2025-03-22,2025-03-19,"April 05, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Alabama,0,2.7465192282830273,4.102256148336463,6.061960296710396,140,209.106805025405,309,2.75,4.1,6.06,140,209,309,wk inc covid hosp,2025-03-22,2025-03-22,2025-03-19,"March 22, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Alabama,1,2.216342927251964,3.849799403357679,6.230631965799578,112.975,196.238173364987,317.597803878201,2.22,3.85,6.23,113,196,318,wk inc covid hosp,2025-03-29,2025-03-22,2025-03-19,"March 29, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Alabama,2,1.9029454653103832,3.648946974718879,6.430023502042606,97,186,327.761510283954,1.9,3.65,6.43,97,186,328,wk inc covid hosp,2025-04-05,2025-03-22,2025-03-19,"April 05, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Alaska,0,1.2209065945889694,2.5509118842777054,4.0837288765775295,8.6893265334151,18.1551204807117,29.0643476247787,1.22,2.55,4.08,9,18,29,wk inc covid hosp,2025-03-22,2025-03-22,2025-03-19,"March 22, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Alaska,1,1.01234829017521,2.276744165497273,4.074687618991416,7.20499413948889,16.2038386677023,29,1.01,2.28,4.07,7,16,29,wk inc covid hosp,2025-03-29,2025-03-22,2025-03-19,"March 29, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Alaska,2,0.7354395746833884,2.1922408581363926,4.60160295975726,5.23420435137489,15.6024193338511,32.750114440918,0.74,2.19,4.6,5,16,33,wk inc covid hosp,2025-04-05,2025-03-22,2025-03-19,"April 05, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Arizona,0,1.3487911998387925,2.2715048365791364,3.226695205469645,100,168.410413476202,239.228666813314,1.35,2.27,3.23,100,168,239,wk inc covid hosp,2025-03-22,2025-03-22,2025-03-19,"March 22, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Arizona,1,0.9904308659536237,2.117602183746904,3.4753547664015434,73.431,157,257.664401044203,0.99,2.12,3.48,73,157,258,wk inc covid hosp,2025-03-29,2025-03-22,2025-03-19,"March 29, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Arizona,2,0.6586826925132027,1.9754758582769114,3.593026610475117,48.8350378169674,146.462688851545,266.388645692866,0.66,1.98,3.59,49,146,266,wk inc covid hosp,2025-04-05,2025-03-22,2025-03-19,"April 05, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Arkansas,0,1.5530506341928854,2.578515040081365,4.438677065355603,47.5850986995178,79.0050819844834,136,1.55,2.58,4.44,48,79,136,wk inc covid hosp,2025-03-22,2025-03-22,2025-03-19,"March 22, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Arkansas,1,1.0142562589978121,2.32621762559039,4.9750361602041595,31.0765683541908,71.2747497558594,152.433913939977,1.01,2.33,4.98,31,71,152,wk inc covid hosp,2025-03-29,2025-03-22,2025-03-19,"March 29, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Arkansas,2,0.713406565702486,2.147349485645488,4.800382631902664,21.8586059555484,65.7942728763012,147.082571749666,0.71,2.15,4.8,22,66,147,wk inc covid hosp,2025-04-05,2025-03-22,2025-03-19,"April 05, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
California,0,0.8601999223090094,1.2858053346765028,1.8311441459931308,334,499.254848371955,711,0.86,1.29,1.83,334,499,711,wk inc covid hosp,2025-03-22,2025-03-22,2025-03-19,"March 22, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
California,1,0.6975595783912938,1.2697293619418863,2.008850117967148,270.8497096318,493.012840259528,780,0.7,1.27,2.01,271,493,780,wk inc covid hosp,2025-03-29,2025-03-22,2025-03-19,"March 29, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
California,2,0.5331179159220507,1.2175697580157767,2.2290831893936423,207,472.760213795023,865.5125,0.53,1.22,2.23,207,473,866,wk inc covid hosp,2025-04-05,2025-03-22,2025-03-19,"April 05, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Colorado,0,0.9241326458927352,1.476636745083895,2.5211154150216735,54,86.2845659537339,147.316765635582,0.92,1.48,2.52,54,86,147,wk inc covid hosp,2025-03-22,2025-03-22,2025-03-19,"March 22, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Colorado,1,0.6674291331447533,1.3524573974223202,2.709399782499666,39,79.028373021336,158.318818088766,0.67,1.35,2.71,39,79,158,wk inc covid hosp,2025-03-29,2025-03-22,2025-03-19,"March 29, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Colorado,2,0.5178161951317377,1.3698167364085518,2.941745577269349,30.257641758886,80.0427342274061,171.895519413328,0.52,1.37,2.94,30,80,172,wk inc covid hosp,2025-04-05,2025-03-22,2025-03-19,"April 05, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Connecticut,0,1.190369413153416,2.0208597013999854,3.349644162594496,43,73,121,1.19,2.02,3.35,43,73,121,wk inc covid hosp,2025-03-22,2025-03-22,2025-03-19,"March 22, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Connecticut,1,0.9135393170712262,1.9286617825875534,3.530068392512327,33,69.669512451238,127.517507759137,0.91,1.93,3.53,33,70,128,wk inc covid hosp,2025-03-29,2025-03-22,2025-03-19,"March 29, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Connecticut,2,0.5761082274262054,1.7869634750090968,3.708769390997263,20.8108957652914,64.5509104789876,133.972766815648,0.58,1.79,3.71,21,65,134,wk inc covid hosp,2025-04-05,2025-03-22,2025-03-19,"April 05, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Delaware,0,1.8583137528090063,3.228758991144002,5.058622654461788,19.111679125664,33.2059135437012,52.0249999999999,1.86,3.23,5.06,19,33,52,wk inc covid hosp,2025-03-22,2025-03-22,2025-03-19,"March 22, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Delaware,1,1.4720542240500194,3.719075011931067,5.347895165697239,15.1392239029045,38.2485294342041,55,1.47,3.72,5.35,15,38,55,wk inc covid hosp,2025-03-29,2025-03-22,2025-03-19,"March 29, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Delaware,2,1.2557279981880747,3.3967122083500287,5.979919139825095,12.9144341391254,34.9332149697992,61.5,1.26,3.4,5.98,13,35,62,wk inc covid hosp,2025-04-05,2025-03-22,2025-03-19,"April 05, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
District of Columbia,0,1.8611572146396085,3.5254364388503343,6.089336190948209,12.5773096135194,23.8241591120984,41.1504552178279,1.86,3.53,6.09,13,24,41,wk inc covid hosp,2025-03-22,2025-03-22,2025-03-19,"March 22, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
District of Columbia,1,1.3317963417034266,3.326237780976088,6.230802550885038,9,22.4780164139024,42.1064551703454,1.33,3.33,6.23,9,22,42,wk inc covid hosp,2025-03-29,2025-03-22,2025-03-19,"March 29, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
District of Columbia,2,0.9636051630802941,2.9316668245839987,6.437015651566563,6.51184133501238,19.8115887505055,43.5,0.96,2.93,6.44,7,20,44,wk inc covid hosp,2025-04-05,2025-03-22,2025-03-19,"April 05, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Florida,0,1.1440839860524632,1.6762160725884925,2.6031236508234388,258,378,587.025,1.14,1.68,2.6,258,378,587,wk inc covid hosp,2025-03-22,2025-03-22,2025-03-19,"March 22, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Florida,1,0.9312311514380515,1.6172568987403415,2.878361608688054,210,364.704239340585,649.093339383097,0.93,1.62,2.88,210,365,649,wk inc covid hosp,2025-03-29,2025-03-22,2025-03-19,"March 29, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Florida,2,0.6266079708000855,1.6187232549101556,3.098362613878874,141.305060150548,365.034914270419,698.705308461588,0.63,1.62,3.1,141,365,699,wk inc covid hosp,2025-04-05,2025-03-22,2025-03-19,"April 05, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Georgia,0,1.5675742526658105,2.451613220738971,3.4814730495252304,172,269,382,1.57,2.45,3.48,172,269,382,wk inc covid hosp,2025-03-22,2025-03-22,2025-03-19,"March 22, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Georgia,1,1.36288028794745,2.1943669948334756,4.137894767829038,149.540226964251,240.774,454.025,1.36,2.19,4.14,150,241,454,wk inc covid hosp,2025-03-29,2025-03-22,2025-03-19,"March 29, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Georgia,2,1.0527468558904474,2.0846655451434772,4.2889770186790415,115.511248609261,228.737154335693,470.602299035123,1.05,2.08,4.29,116,229,471,wk inc covid hosp,2025-04-05,2025-03-22,2025-03-19,"April 05, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Hawaii,0,0.21468442799962217,0.7609287497578295,1.532556387610011,2.99460088350253,10.6140809910595,21.3773991673139,0.21,0.76,1.53,3,11,21,wk inc covid hosp,2025-03-22,2025-03-22,2025-03-19,"March 22, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Hawaii,1,0.14338099556594272,0.7772144393411573,2.0832128259065015,2,10.8412476322039,29.0584232266459,0.14,0.78,2.08,2,11,29,wk inc covid hosp,2025-03-29,2025-03-22,2025-03-19,"March 29, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Hawaii,2,0.07169049778297136,0.7070091342612209,2.3115183502356254,1,9.86196436243963,32.2430227396842,0.07,0.71,2.31,1,10,32,wk inc covid hosp,2025-04-05,2025-03-22,2025-03-19,"April 05, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Idaho,0,0.7172997786198856,1.3675455488946247,2.595767707366581,14.0677334692777,26.8203990331098,50.9083779806129,0.72,1.37,2.6,14,27,51,wk inc covid hosp,2025-03-22,2025-03-22,2025-03-19,"March 22, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Idaho,1,0.5942208462993248,1.319929340124821,2.850065458734407,11.6539008330816,25.8865466135818,55.8956832812813,0.59,1.32,2.85,12,26,56,wk inc covid hosp,2025-03-29,2025-03-22,2025-03-19,"March 29, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Idaho,2,0.4601329932987008,1.2974871711891658,3.2614617073882153,9.02416047388365,25.4464092254639,63.9640153076172,0.46,1.3,3.26,9,25,64,wk inc covid hosp,2025-04-05,2025-03-22,2025-03-19,"April 05, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Illinois,0,2.295967360535917,3.064628574477832,4.268787091570829,287.749777990148,384.084811955873,535,2.3,3.06,4.27,288,384,535,wk inc covid hosp,2025-03-22,2025-03-22,2025-03-19,"March 22, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Illinois,1,1.7950848148152285,2.8806636220679533,4.627843949740338,224.975,361.028789852164,580,1.8,2.88,4.63,225,361,580,wk inc covid hosp,2025-03-29,2025-03-22,2025-03-19,"March 29, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Illinois,2,1.379363409821019,2.6849473949786615,4.8220861989128,172.873326409608,336.5,604.344058646651,1.38,2.68,4.82,173,336,604,wk inc covid hosp,2025-04-05,2025-03-22,2025-03-19,"April 05, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Indiana,0,1.9791173039822012,3.0173110983597597,4.306914683450234,135.789811078714,207.021636962891,295.503015420609,1.98,3.02,4.31,136,207,296,wk inc covid hosp,2025-03-22,2025-03-22,2025-03-19,"March 22, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Indiana,1,1.5516132912244922,2.80355606685237,4.560083718475834,106.458205008191,192.355626369628,312.873272033461,1.55,2.8,4.56,106,192,313,wk inc covid hosp,2025-03-29,2025-03-22,2025-03-19,"March 29, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
Indiana,2,1.1542463289927503,2.6030121932762094,4.846140504552457,79.1943411524203,178.596050496532,332.5,1.15,2.6,4.85,79,179,332,wk inc covid hosp,2025-04-05,2025-03-22,2025-03-19,"April 05, 2025","March 19, 2025","March 22, 2025",CovidHub-ensemble
