week_ending_date,location,location_name,target,target_data_type,value
2020-08-15,35,New Mexico,wk inc rsv hosp,hosp,NA
2020-08-15,32,Nevada,wk inc rsv hosp,hosp,NA
2020-08-15,36,New York,wk inc rsv hosp,hosp,NA
2020-08-15,39,Ohio,wk inc rsv hosp,hosp,NA
2020-08-15,40,Oklahoma,wk inc rsv hosp,hosp,NA
2020-08-15,41,Oregon,wk inc rsv hosp,hosp,NA
2020-08-15,42,Pennsylvania,wk inc rsv hosp,hosp,NA
2020-08-15,72,Puerto Rico,wk inc rsv hosp,hosp,NA
2020-08-15,44,Rhode Island,wk inc rsv hosp,hosp,NA
2020-08-15,45,South Carolina,wk inc rsv hosp,hosp,NA
2020-08-15,46,South Dakota,wk inc rsv hosp,hosp,NA
2020-08-15,47,Tennessee,wk inc rsv hosp,hosp,NA
2020-08-15,48,Texas,wk inc rsv hosp,hosp,NA
2020-08-15,US,United States,wk inc rsv hosp,hosp,NA
2020-08-15,49,Utah,wk inc rsv hosp,hosp,NA
2020-08-15,51,Virginia,wk inc rsv hosp,hosp,NA
2020-08-15,50,Vermont,wk inc rsv hosp,hosp,NA
2020-08-15,53,Washington,wk inc rsv hosp,hosp,NA
2020-08-15,55,Wisconsin,wk inc rsv hosp,hosp,NA
2020-08-15,54,West Virginia,wk inc rsv hosp,hosp,NA
2020-08-15,56,Wyoming,wk inc rsv hosp,hosp,NA
2020-08-22,02,Alaska,wk inc rsv hosp,hosp,NA
2020-08-22,01,Alabama,wk inc rsv hosp,hosp,NA
2020-08-22,05,Arkansas,wk inc rsv hosp,hosp,NA
2020-08-22,04,Arizona,wk inc rsv hosp,hosp,NA
2020-08-22,06,California,wk inc rsv hosp,hosp,NA
2020-08-22,08,Colorado,wk inc rsv hosp,hosp,NA
2020-08-22,09,Connecticut,wk inc rsv hosp,hosp,NA
2020-08-22,11,District of Columbia,wk inc rsv hosp,hosp,NA
2020-08-22,10,Delaware,wk inc rsv hosp,hosp,NA
2020-08-22,12,Florida,wk inc rsv hosp,hosp,NA
2020-08-22,13,Georgia,wk inc rsv hosp,hosp,NA
2020-08-22,15,Hawaii,wk inc rsv hosp,hosp,NA
2020-08-22,19,Iowa,wk inc rsv hosp,hosp,NA
2020-08-22,16,Idaho,wk inc rsv hosp,hosp,NA
2020-08-22,17,Illinois,wk inc rsv hosp,hosp,NA
2020-08-22,18,Indiana,wk inc rsv hosp,hosp,NA
2020-08-22,20,Kansas,wk inc rsv hosp,hosp,NA
2020-08-22,21,Kentucky,wk inc rsv hosp,hosp,NA
2020-08-22,22,Louisiana,wk inc rsv hosp,hosp,NA
2020-08-22,25,Massachusetts,wk inc rsv hosp,hosp,NA
2020-08-22,24,Maryland,wk inc rsv hosp,hosp,NA
2020-08-22,23,Maine,wk inc rsv hosp,hosp,NA
2020-08-22,26,Michigan,wk inc rsv hosp,hosp,NA
2020-08-22,27,Minnesota,wk inc rsv hosp,hosp,NA
2020-08-22,29,Missouri,wk inc rsv hosp,hosp,NA
2020-08-22,28,Mississippi,wk inc rsv hosp,hosp,NA
2020-08-22,30,Montana,wk inc rsv hosp,hosp,NA
2020-08-22,37,North Carolina,wk inc rsv hosp,hosp,NA
2020-08-22,38,North Dakota,wk inc rsv hosp,hosp,NA
2020-08-22,31,Nebraska,wk inc rsv hosp,hosp,NA
2020-08-22,33,New Hampshire,wk inc rsv hosp,hosp,NA
2020-08-22,34,New Jersey,wk inc rsv hosp,hosp,NA
2020-08-22,35,New Mexico,wk inc rsv hosp,hosp,NA
2020-08-22,32,Nevada,wk inc rsv hosp,hosp,NA
2020-08-22,36,New York,wk inc rsv hosp,hosp,NA
2020-08-22,39,Ohio,wk inc rsv hosp,hosp,NA
2020-08-22,40,Oklahoma,wk inc rsv hosp,hosp,NA
2020-08-22,41,Oregon,wk inc rsv hosp,hosp,NA
2020-08-22,42,Pennsylvania,wk inc rsv hosp,hosp,NA
2020-08-22,72,Puerto Rico,wk inc rsv hosp,hosp,NA
2020-08-22,44,Rhode Island,wk inc rsv hosp,hosp,NA
2020-08-22,45,South Carolina,wk inc rsv hosp,hosp,NA
2020-08-22,46,South Dakota,wk inc rsv hosp,hosp,NA
2020-08-22,47,Tennessee,wk inc rsv hosp,hosp,NA
2020-08-22,48,Texas,wk inc rsv hosp,hosp,NA
2020-08-22,US,United States,wk inc rsv hosp,hosp,NA
2020-08-22,49,Utah,wk inc rsv hosp,hosp,NA
2020-08-22,51,Virginia,wk inc rsv hosp,hosp,NA
2020-08-22,50,Vermont,wk inc rsv hosp,hosp,NA
2020-08-22,53,Washington,wk inc rsv hosp,hosp,NA
2020-08-22,55,Wisconsin,wk inc rsv hosp,hosp,NA
2020-08-22,54,West Virginia,wk inc rsv hosp,hosp,NA
2020-08-22,56,Wyoming,wk inc rsv hosp,hosp,NA
2020-08-29,02,Alaska,wk inc rsv hosp,hosp,NA
2020-08-29,01,Alabama,wk inc rsv hosp,hosp,NA
2020-08-29,05,Arkansas,wk inc rsv hosp,hosp,NA
2020-08-29,04,Arizona,wk inc rsv hosp,hosp,NA
2020-08-29,06,California,wk inc rsv hosp,hosp,NA
2020-08-29,08,Colorado,wk inc rsv hosp,hosp,NA
2020-08-29,09,Connecticut,wk inc rsv hosp,hosp,NA
2020-08-29,11,District of Columbia,wk inc rsv hosp,hosp,NA
2020-08-29,10,Delaware,wk inc rsv hosp,hosp,NA
2020-08-29,12,Florida,wk inc rsv hosp,hosp,NA
2020-08-29,13,Georgia,wk inc rsv hosp,hosp,NA
2020-08-29,15,Hawaii,wk inc rsv hosp,hosp,NA
2020-08-29,19,Iowa,wk inc rsv hosp,hosp,NA
2020-08-29,16,Idaho,wk inc rsv hosp,hosp,NA
2020-08-29,17,Illinois,wk inc rsv hosp,hosp,NA
2020-08-29,18,Indiana,wk inc rsv hosp,hosp,NA
2020-08-29,20,Kansas,wk inc rsv hosp,hosp,NA
2020-08-29,21,Kentucky,wk inc rsv hosp,hosp,NA
2020-08-29,22,Louisiana,wk inc rsv hosp,hosp,NA
2020-08-29,25,Massachusetts,wk inc rsv hosp,hosp,NA
2020-08-29,24,Maryland,wk inc rsv hosp,hosp,NA
2020-08-29,23,Maine,wk inc rsv hosp,hosp,NA
2020-08-29,26,Michigan,wk inc rsv hosp,hosp,NA
2020-08-29,27,Minnesota,wk inc rsv hosp,hosp,NA
2020-08-29,29,Missouri,wk inc rsv hosp,hosp,NA
2020-08-29,28,Mississippi,wk inc rsv hosp,hosp,NA
2020-08-29,30,Montana,wk inc rsv hosp,hosp,NA
2020-08-29,37,North Carolina,wk inc rsv hosp,hosp,NA
2020-08-29,38,North Dakota,wk inc rsv hosp,hosp,NA
2020-08-29,31,Nebraska,wk inc rsv hosp,hosp,NA
2020-08-29,33,New Hampshire,wk inc rsv hosp,hosp,NA
2020-08-29,34,New Jersey,wk inc rsv hosp,hosp,NA
2020-08-29,35,New Mexico,wk inc rsv hosp,hosp,NA
2020-08-29,32,Nevada,wk inc rsv hosp,hosp,NA
2020-08-29,36,New York,wk inc rsv hosp,hosp,NA
2020-08-29,39,Ohio,wk inc rsv hosp,hosp,NA
2020-08-29,40,Oklahoma,wk inc rsv hosp,hosp,NA
2020-08-29,41,Oregon,wk inc rsv hosp,hosp,NA
2020-08-29,42,Pennsylvania,wk inc rsv hosp,hosp,NA
2020-08-29,72,Puerto Rico,wk inc rsv hosp,hosp,NA
2020-08-29,44,Rhode Island,wk inc rsv hosp,hosp,NA
2020-08-29,45,South Carolina,wk inc rsv hosp,hosp,NA
2020-08-29,46,South Dakota,wk inc rsv hosp,hosp,NA
2020-08-29,47,Tennessee,wk inc rsv hosp,hosp,NA
2020-08-29,48,Texas,wk inc rsv hosp,hosp,NA
2020-08-29,US,United States,wk inc rsv hosp,hosp,NA
2020-08-29,49,Utah,wk inc rsv hosp,hosp,NA
2020-08-29,51,Virginia,wk inc rsv hosp,hosp,NA
2020-08-29,50,Vermont,wk inc rsv hosp,hosp,NA
2020-08-29,53,Washington,wk inc rsv hosp,hosp,NA
2020-08-29,55,Wisconsin,wk inc rsv hosp,hosp,NA
2020-08-29,54,West Virginia,wk inc rsv hosp,hosp,NA
2020-08-29,56,Wyoming,wk inc rsv hosp,hosp,NA
2020-09-05,02,Alaska,wk inc rsv hosp,hosp,NA
2020-09-05,01,Alabama,wk inc rsv hosp,hosp,NA
2020-09-05,05,Arkansas,wk inc rsv hosp,hosp,NA
2020-09-05,04,Arizona,wk inc rsv hosp,hosp,NA
2020-09-05,06,California,wk inc rsv hosp,hosp,NA
2020-09-05,08,Colorado,wk inc rsv hosp,hosp,NA
2020-09-05,09,Connecticut,wk inc rsv hosp,hosp,NA
2020-09-05,11,District of Columbia,wk inc rsv hosp,hosp,NA
2020-09-05,10,Delaware,wk inc rsv hosp,hosp,NA
2020-09-05,12,Florida,wk inc rsv hosp,hosp,NA
2020-09-05,13,Georgia,wk inc rsv hosp,hosp,NA
2020-09-05,15,Hawaii,wk inc rsv hosp,hosp,NA
2020-09-05,19,Iowa,wk inc rsv hosp,hosp,NA
2020-09-05,16,Idaho,wk inc rsv hosp,hosp,NA
2020-09-05,17,Illinois,wk inc rsv hosp,hosp,NA
2020-09-05,18,Indiana,wk inc rsv hosp,hosp,NA
2020-09-05,20,Kansas,wk inc rsv hosp,hosp,NA
2020-09-05,21,Kentucky,wk inc rsv hosp,hosp,NA
2020-09-05,22,Louisiana,wk inc rsv hosp,hosp,NA
2020-09-05,25,Massachusetts,wk inc rsv hosp,hosp,NA
2020-09-05,24,Maryland,wk inc rsv hosp,hosp,NA
2020-09-05,23,Maine,wk inc rsv hosp,hosp,NA
2020-09-05,26,Michigan,wk inc rsv hosp,hosp,NA
2020-09-05,27,Minnesota,wk inc rsv hosp,hosp,NA
2020-09-05,29,Missouri,wk inc rsv hosp,hosp,NA
2020-09-05,28,Mississippi,wk inc rsv hosp,hosp,NA
2020-09-05,30,Montana,wk inc rsv hosp,hosp,NA
2020-09-05,37,North Carolina,wk inc rsv hosp,hosp,NA
2020-09-05,38,North Dakota,wk inc rsv hosp,hosp,NA
2020-09-05,31,Nebraska,wk inc rsv hosp,hosp,NA
2020-09-05,33,New Hampshire,wk inc rsv hosp,hosp,NA
2020-09-05,34,New Jersey,wk inc rsv hosp,hosp,NA
2020-09-05,35,New Mexico,wk inc rsv hosp,hosp,NA
2020-09-05,32,Nevada,wk inc rsv hosp,hosp,NA
2020-09-05,36,New York,wk inc rsv hosp,hosp,NA
2020-09-05,39,Ohio,wk inc rsv hosp,hosp,NA
2020-09-05,40,Oklahoma,wk inc rsv hosp,hosp,NA
2020-09-05,41,Oregon,wk inc rsv hosp,hosp,NA
2020-09-05,42,Pennsylvania,wk inc rsv hosp,hosp,NA
