location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,1.9644018037289135,3.0235160535882306,4.78269078934449,6558.15,10094,15967,1.96,3.02,4.78,6600,10100,16000,wk inc covid hosp,hosp,2025-02-22,2025-02-22,2025-02-19,"February 22, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
United States,1,1.3660516225517474,2.5877453366001584,5.0038981011708135,4560.55957158653,8639.1806640625,16705.5,1.37,2.59,5,4600,8600,16700,wk inc covid hosp,hosp,2025-03-01,2025-02-22,2025-02-19,"March 01, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
United States,2,1.1386219824942794,2.2373339848360425,4.960016081966268,3801.28634596048,7469.33333333333,16559,1.14,2.24,4.96,3800,7500,16600,wk inc covid hosp,hosp,2025-03-08,2025-02-22,2025-02-19,"March 08, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
Alabama,0,2.3941030773084933,3.779733604637125,5.927138975906886,122.036076562523,192.666666666667,302.127670573677,2.39,3.78,5.93,120,190,300,wk inc covid hosp,hosp,2025-02-22,2025-02-22,2025-02-19,"February 22, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
Alabama,1,1.9417015595630622,3.594168748151838,6.36448460747842,98.9755380335593,183.20775604248,324.420756232608,1.94,3.59,6.36,100,180,320,wk inc covid hosp,hosp,2025-03-01,2025-02-22,2025-02-19,"March 01, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
Alabama,2,1.4321135976047215,3.5116210133047274,6.47393818095285,73,179,330,1.43,3.51,6.47,70,180,330,wk inc covid hosp,hosp,2025-03-08,2025-02-22,2025-02-19,"March 08, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
Alaska,0,0.4643559140880737,1.2485256582584798,2.4105280348715703,3.30487211971537,8.88589444764801,17.1559931822648,0.46,1.25,2.41,3,9,20,wk inc covid hosp,hosp,2025-02-22,2025-02-22,2025-02-19,"February 22, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
Alaska,1,0.421519408861181,1.264558226583543,2.6590592807684583,3,9,18.92481739775,0.42,1.26,2.66,3,9,20,wk inc covid hosp,hosp,2025-03-01,2025-02-22,2025-02-19,"March 01, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
Alaska,2,0.28101293924078735,1.264558226583543,3.091142331648661,2,9,22,0.28,1.26,3.09,2,9,20,wk inc covid hosp,hosp,2025-03-08,2025-02-22,2025-02-19,"March 08, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
Arizona,0,1.7938922957855938,3.624790725819735,5.521474544414238,133,268.743651816009,409.364662601162,1.79,3.62,5.52,130,270,410,wk inc covid hosp,hosp,2025-02-22,2025-02-22,2025-02-19,"February 22, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
Arizona,1,1.4701824078242838,3.3697300142639124,5.952808195235948,109,249.833333333333,441.343937886563,1.47,3.37,5.95,110,250,440,wk inc covid hosp,hosp,2025-03-01,2025-02-22,2025-02-19,"March 01, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
Arizona,2,0.8902021918936031,2.9943164636421193,6.096536223271342,66,222,452,0.89,2.99,6.1,70,220,450,wk inc covid hosp,hosp,2025-03-08,2025-02-22,2025-02-19,"March 08, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
Arkansas,0,1.4934842831667088,2.8752561504235836,4.883056622079448,45.76,88.0971583875025,149.615682966925,1.49,2.88,4.88,50,90,150,wk inc covid hosp,hosp,2025-02-22,2025-02-22,2025-02-19,"February 22, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
Arkansas,1,0.9566001822468583,2.547601068233266,5.236370075187143,29.31,78.0578853064109,160.441122374916,0.96,2.55,5.24,30,80,160,wk inc covid hosp,hosp,2025-03-01,2025-02-22,2025-02-19,"March 01, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
Arkansas,2,0.633608045573477,2.2544229720996345,5.429647189195771,19.4135984504404,69.0749788036195,166.363086761633,0.63,2.25,5.43,20,70,170,wk inc covid hosp,hosp,2025-03-08,2025-02-22,2025-02-19,"March 08, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
California,0,1.227484685544003,1.977672136398394,3.3218590232648535,476.61,767.894156260778,1289.81750055529,1.23,1.98,3.32,480,770,1300,wk inc covid hosp,hosp,2025-02-22,2025-02-22,2025-02-19,"February 22, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
California,1,1.0198777521987057,1.7928214668196036,3.359834515880951,396,696.12,1304.56269432342,1.02,1.79,3.36,400,700,1300,wk inc covid hosp,hosp,2025-03-01,2025-02-22,2025-02-19,"March 01, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
California,2,0.708248439026879,1.7481404659064754,3.6908722320995038,275,678.771179199219,1433.09862457578,0.71,1.75,3.69,280,680,1400,wk inc covid hosp,hosp,2025-03-08,2025-02-22,2025-02-19,"March 08, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
Colorado,0,0.9757324374172837,1.993243342772761,3.273912107882561,57.0151393901185,116.471527099609,191.30506276496,0.98,1.99,3.27,60,120,190,wk inc covid hosp,hosp,2025-02-22,2025-02-22,2025-02-19,"February 22, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
Colorado,1,0.7742696185592344,1.9069785430364636,3.6844264512779468,45.2430282471069,111.430801391602,215.292717180021,0.77,1.91,3.68,50,110,220,wk inc covid hosp,hosp,2025-03-01,2025-02-22,2025-02-19,"March 01, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
Colorado,2,0.5885184493940702,1.677129616620149,4.2099376090669045,34.3889986015801,98,246,0.59,1.68,4.21,30,100,250,wk inc covid hosp,hosp,2025-03-08,2025-02-22,2025-02-19,"March 08, 2025","February 19, 2025","February 22, 2025",CovidHub-ensemble
