location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,0.676686607927332,1.0152680369254312,1.4394257964426056,2259.11637291036,3389.46953913577,4805.51904860844,0.68,1.02,1.44,2300,3400,4800,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
United States,1,0.5805007045625115,0.9820635424245611,1.6142367695951725,1938,3278.61642588902,5389.125,0.58,0.98,1.61,1900,3300,5400,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
United States,2,0.4805008494181981,0.9590855862229798,1.8455345284382023,1604.15075960031,3201.9045825292,6161.31192951564,0.48,0.96,1.85,1600,3200,6200,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Alabama,0,0.5296858511688696,0.8707415898733971,1.4111992658207886,27,44.3848422129865,71.9339210082352,0.53,0.87,1.41,30,40,70,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Alabama,1,0.3984628678990442,0.843406016432399,1.5049109038239354,20.3110908277674,42.9914493532787,76.7107414962688,0.4,0.84,1.5,20,40,80,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Alabama,2,0.31388791180377457,0.8065347390971113,1.5594017755369847,16,41.1119872421879,79.4883379395298,0.31,0.81,1.56,20,40,80,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Alaska,0,0.7100653495792238,1.51131358388336,2.792366064471998,5.05361320014379,10.7561850209921,19.8735764411143,0.71,1.51,2.79,5,10,20,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Alaska,1,0.5620258784815747,1.606055398324685,3.370750206193244,4,11.4304729359706,23.99,0.56,1.61,3.37,4,10,20,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Alaska,2,0.5893627101243455,1.5507523400906125,3.6770543099657025,4.19455923785308,11.0368749871823,26.17,0.59,1.55,3.68,4,10,30,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Arizona,0,0.4150504352071177,0.8755450810899003,1.5106461438194476,30.7720301894559,64.9133150627425,112,0.42,0.88,1.51,30,60,110,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Arizona,1,0.3491230057629923,0.903690103891991,1.82086811978237,25.8841402438509,67,135,0.35,0.9,1.82,30,70,140,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Arizona,2,0.2815894904504423,0.7620670279089178,2.1203979429110906,20.8771743531614,56.5,157.207278870482,0.28,0.76,2.12,20,60,160,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Arkansas,0,0.08306822906223614,0.3795190044380635,0.7832959527098124,2.54519060209194,11.6283712114212,24,0.08,0.38,0.78,3,10,20,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Arkansas,1,0.0652746627258177,0.3883389891496604,0.9138452781614478,2,11.8986134261882,28,0.07,0.39,0.91,2,10,30,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Arkansas,2,0.016318665681454424,0.4028657784892146,0.9855026471096476,0.5,12.3437107651227,30.1955645868043,0.02,0.4,0.99,0,10,30,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
California,0,0.7992288210128529,1.3469597585856643,1.9342264869824064,310.326029211613,523,751.025,0.8,1.35,1.93,310,520,750,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
California,1,0.6652899518888123,1.3561166580607493,2.1556507035109007,258.32,526.555457685312,837,0.67,1.36,2.16,260,530,840,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
California,2,0.5542479839472529,1.3485746619608057,2.4371584804171986,215.20442148085,523.627037637773,946.304354776409,0.55,1.35,2.44,220,520,950,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Colorado,0,0.3080442152975784,0.6845427006612853,1.0781547535415243,18,40,63,0.31,0.68,1.08,20,40,60,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Colorado,1,0.28014910024563106,0.6989180973751724,1.1123818885745889,16.37,40.84,65,0.28,0.7,1.11,20,40,60,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Colorado,2,0.22247637771491774,0.7244111837931418,1.441753458860031,13,42.3296418524859,84.2462249596562,0.22,0.72,1.44,10,40,80,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Connecticut,0,0.3875621345150656,0.8028072786383503,1.4118334900191678,14,29,51,0.39,0.8,1.41,10,30,50,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Connecticut,1,0.30451310569040874,0.7690004375310521,1.7354816323227706,11,27.7787873650392,62.6912195199872,0.3,0.77,1.74,10,30,60,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Connecticut,2,0.30258982970021236,0.7419029880213818,2.1325270030484282,10.9305250398199,26.7999396930135,77.0337847375991,0.3,0.74,2.13,10,30,80,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Delaware,0,0.20629944779338455,0.5834067453487897,1.3612824058138426,2.12167016687524,6,14,0.21,0.58,1.36,2,6,10,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Delaware,1,0.19028477365368976,0.5206687467035865,1.2265421798075826,1.95696853185948,5.3547760719733,12.6142749248567,0.19,0.52,1.23,2,5,10,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Delaware,2,0.1817643933197915,0.5711532475864773,1.5122658594776661,1.86934136194593,5.87397988254332,15.5527772505293,0.18,0.57,1.51,2,6,20,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
District of Columbia,0,0.3201527184392664,1.0270169695374716,2.0859792758482287,2.16352483914169,6.94036500657063,14.0966098905344,0.32,1.03,2.09,2,7,10,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
District of Columbia,1,0.26257375428990987,1.0421995202975929,2.305864167388495,1.77441829100281,7.04296549627187,15.5825458117363,0.26,1.04,2.31,2,7,20,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
District of Columbia,2,0.2959547426007615,1.0358415991026653,2.6635926834068533,2,7,18,0.3,1.04,2.66,2,7,20,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Florida,0,1.6970807586056136,2.6124443811586753,3.4632929965386583,382.705151945174,589.12689851078,781,1.7,2.61,3.46,380,590,780,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Florida,1,1.5259144609328046,2.6905928625477986,4.12115506421025,344.105796182878,606.75,929.35310652752,1.53,2.69,4.12,340,610,930,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Florida,2,1.3233719665001078,2.697104395189335,4.776096048133742,298.430859551749,608.218402182005,1077.04748553486,1.32,2.7,4.78,300,610,1100,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Georgia,0,0.328096936604472,0.6742952478755012,1.1574530819102204,36,73.9861492604597,127,0.33,0.67,1.16,40,70,130,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Georgia,1,0.2825279176316286,0.6926490883872185,1.3488429615961623,31,76,148,0.28,0.69,1.35,30,80,150,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Georgia,2,0.24942497166421795,0.6846894954118633,1.7010331251108444,27.367823280644,75.1266442470378,186.643597278731,0.25,0.68,1.7,30,80,190,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Hawaii,0,1.2151596195114223,2.186560182380626,3.5486796402570824,16.9500792586219,30.5,49.5,1.22,2.19,3.55,20,30,50,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Hawaii,1,1.0601562190892582,2.2770989158536796,4.08397878556063,14.7879600766432,31.7629112124056,56.9668074829674,1.06,2.28,4.08,10,30,60,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Hawaii,2,0.9805130431407464,2.34100748465305,5.095073460186316,13.6770293618138,32.6543622523027,71.0704154351199,0.98,2.34,5.1,10,30,70,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Idaho,0,0.2554953364086692,0.5880292098229967,1.045274670139358,5.01079242232037,11.5324700250933,20.5,0.26,0.59,1.05,5,10,20,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Idaho,1,0.22945053734766396,0.5805756188777574,1.3509543836061262,4.5,11.3862896777239,26.4950119380902,0.23,0.58,1.35,4,10,30,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Idaho,2,0.15296702489844263,0.5071783911487971,1.325714215786503,3,9.94681810969759,26,0.15,0.51,1.33,3,10,30,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Illinois,0,0.36472197748729457,0.6059638171253836,0.9495059138260349,45.71,75.9444393003879,119,0.36,0.61,0.95,50,80,120,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Illinois,1,0.2633083626576399,0.5744909730712144,1.1968561938983633,33,72,150,0.26,0.57,1.2,30,70,150,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Illinois,2,0.19982021293062047,0.57848070648369,1.2530711560769334,25.0431355850412,72.5000266656281,157.045327893003,0.2,0.58,1.25,30,70,160,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Indiana,0,0.29149717320616286,0.4518206184695524,0.8453418022978721,20,31,58,0.29,0.45,0.85,20,30,60,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Indiana,1,0.18947316258400584,0.4226709011489361,1.0202401062215698,13,29,70,0.19,0.42,1.02,10,30,70,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Indiana,2,0.13176504914714834,0.4543357413602934,1.3481486688904218,9.04057131654974,31.1725658511935,92.4982327658414,0.13,0.45,1.35,9,30,90,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Iowa,0,0.15592295160900013,0.4365842645052004,0.90435311933220075,5,14,29,0.16,0.44,0.9,5,10,30,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Iowa,1,0.1350292760933941,0.4677688548270003,0.9355377096540006,4.33,15,30,0.14,0.47,0.94,4,20,30,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Iowa,2,0.14063948791970404,0.5519090381892512,1.256021166515016,4.5099033358597,17.6981333566993,40.276981469177,0.14,0.55,1.26,5,20,40,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Kansas,0,0.13698109421182963,0.39969887905891593,0.8561318388239352,4,11.6716509342761,25,0.14,0.4,0.86,4,10,20,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Kansas,1,0.10273582065887221,0.44518855618844627,1.1651954326393723,3,13,34.0249999999999,0.1,0.45,1.17,3,10,30,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Kansas,2,0.10579816810825993,0.5333701355873116,1.6780184040949129,3.08942394472779,15.575,49,0.11,0.53,1.68,3,20,50,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Kentucky,0,0.12899637435769246,0.35509723115352787,0.842682302119346,5.81697540492322,16.0127900513603,38,0.13,0.36,0.84,6,20,40,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Kentucky,1,0.1178576521574166,0.38827741470370625,0.842682302119346,5.31468475215176,17.5090205663904,38,0.12,0.39,0.84,5,20,40,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Kentucky,2,0.07136383098815012,0.357209933449489,1.1198804278164993,3.21808773096274,16.1080604599646,50.5,0.07,0.36,1.12,3,20,50,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Louisiana,0,0.809029259791709,1.3818656238772342,2.1429723047169675,36.8840808297043,63,97.6992645770911,0.81,1.38,2.14,40,60,100,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Louisiana,1,0.6127775834800948,1.337558186413234,2.6321249978613985,27.9368609307526,60.98,120,0.61,1.34,2.63,30,60,120,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Louisiana,2,0.5387181332917618,1.4476687488237692,2.862435935174271,24.5604506045634,66,130.5,0.54,1.45,2.86,20,70,130,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Maine,0,0,0.22721641402459025,0.7738360429168676,0,3.16981666631215,10.7955157921182,0,0.23,0.77,0,3,10,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Maine,1,0.05767863606914531,0.22931542266796098,0.9318562217531083,0.804654464278022,3.19909920124279,13,0.06,0.23,0.93,1,3,10,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Maine,2,0.06162863833465114,0.3282833320036257,1.1809485579524968,0.859759563383301,4.57976586561638,16.475,0.06,0.33,1.18,1,5,20,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Maryland,0,0.2764598952639818,0.5557851299201372,1.0082655003745218,17,34.1761947049153,62,0.28,0.56,1.01,20,30,60,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Maryland,1,0.29563704015382714,0.578949358601409,1.235938355297801,18.1792360075087,35.6006034322846,76,0.3,0.58,1.24,20,40,80,wk inc covid hosp,hosp,2025-07-05,2025-06-28,2025-06-25,"July 05, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Maryland,2,0.19514816136281066,0.5737948382593012,1.1804979827653925,12,35.283643007583,72.590875026734,0.2,0.57,1.18,10,40,70,wk inc covid hosp,hosp,2025-07-12,2025-06-28,2025-06-25,"July 12, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
Massachusetts,0,0.33555024686477614,0.6485766910211556,1.5830730784566032,23.4819170071785,45.3876108679685,110.783976444509,0.34,0.65,1.58,20,50,110,wk inc covid hosp,hosp,2025-06-28,2025-06-28,2025-06-25,"June 28, 2025","June 25, 2025","June 28, 2025",CovidHub-ensemble
