location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,0.6666135509520446,0.9208112441033498,1.2970169476611577,2225.4875,3074.1257969999997,4330.0875,0.67,0.92,1.3,2225,3074,4330,wk inc rsv hosp,hosp,2025-12-13,2025-12-13,2025-12-10,"December 13, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
United States,1,0.6750043022350979,1.0849192734393276,1.6922584006689192,2253.5,3622,5649.6,0.68,1.08,1.69,2254,3622,5650,wk inc rsv hosp,hosp,2025-12-20,2025-12-13,2025-12-10,"December 20, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
United States,2,0.7829870184346776,1.3433162113382486,2.2794687108982004,2614,4484.657464,7610,0.78,1.34,2.28,2614,4485,7610,wk inc rsv hosp,hosp,2025-12-27,2025-12-13,2025-12-10,"December 27, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
United States,0,NA,NA,NA,0.001995426492574872,0.003129148714103481,0.004903484858328446,NA,NA,NA,0.002,0.0031,0.0049,wk inc rsv prop ed visits,prop_ed,2025-12-13,2025-12-13,2025-12-10,"December 13, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
United States,1,NA,NA,NA,0.001838090317737258,0.0034409416945998896,0.006117973670499631,NA,NA,NA,0.0018,0.0034,0.0061,wk inc rsv prop ed visits,prop_ed,2025-12-20,2025-12-13,2025-12-10,"December 20, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
United States,2,NA,NA,NA,0.001345315039691114,0.003512801854373999,0.008335445992039963,NA,NA,NA,0.0013,0.0035,0.0083,wk inc rsv prop ed visits,prop_ed,2025-12-27,2025-12-13,2025-12-10,"December 27, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Alabama,0,0.9220457409235877,1.3732596141415137,2.2168333771141575,47,70,113,0.92,1.37,2.22,47,70,113,wk inc rsv hosp,hosp,2025-12-13,2025-12-13,2025-12-10,"December 13, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Alabama,1,0.8239557684849081,1.4713495865801933,3.02117115111133,42,75,154,0.82,1.47,3.02,42,75,154,wk inc rsv hosp,hosp,2025-12-20,2025-12-13,2025-12-10,"December 20, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Alabama,2,0.86319175746038,1.951990451529723,4.472902743203788,44,99.5,228,0.86,1.95,4.47,44,100,228,wk inc rsv hosp,hosp,2025-12-27,2025-12-13,2025-12-10,"December 27, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Alabama,0,NA,NA,NA,0.0043663352054365235,0.007101399394452368,0.011629172871257521,NA,NA,NA,0.0044,0.0071,0.0116,wk inc rsv prop ed visits,prop_ed,2025-12-13,2025-12-13,2025-12-10,"December 13, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Alabama,1,NA,NA,NA,0.003910956980123274,0.007453333899022385,0.01406853073738635,NA,NA,NA,0.0039,0.0075,0.0141,wk inc rsv prop ed visits,prop_ed,2025-12-20,2025-12-13,2025-12-10,"December 20, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Alabama,2,NA,NA,NA,0.0032604322161046426,0.007821642275285073,0.018118582175639115,NA,NA,NA,0.0033,0.0078,0.0181,wk inc rsv prop ed visits,prop_ed,2025-12-27,2025-12-13,2025-12-10,"December 27, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Alaska,0,0.14050646962039368,0.421519408861181,1.686077635444724,1,3,12,0.14,0.42,1.69,1,3,12,wk inc rsv hosp,hosp,2025-12-13,2025-12-13,2025-12-10,"December 13, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Alaska,1,0,0.5620258784815747,2.248103513926299,0,4,16,0,0.56,2.25,0,4,16,wk inc rsv hosp,hosp,2025-12-20,2025-12-13,2025-12-10,"December 20, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Alaska,2,0,0.421519408861181,2.107597044305905,0,3,15,0,0.42,2.11,0,3,15,wk inc rsv hosp,hosp,2025-12-27,2025-12-13,2025-12-10,"December 27, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Alaska,0,NA,NA,NA,4.4890795191884243e-4,0.0012938713640335826,0.0027194776455725907,NA,NA,NA,4e-4,0.0013,0.0027,wk inc rsv prop ed visits,prop_ed,2025-12-13,2025-12-13,2025-12-10,"December 13, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Alaska,1,NA,NA,NA,4.597498608483957e-4,0.0015061425090709154,0.003786938466680035,NA,NA,NA,5e-4,0.0015,0.0038,wk inc rsv prop ed visits,prop_ed,2025-12-20,2025-12-13,2025-12-10,"December 20, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Alaska,2,NA,NA,NA,4.626830936243024e-4,0.0014416760043875045,0.003711193926176446,NA,NA,NA,5e-4,0.0014,0.0037,wk inc rsv prop ed visits,prop_ed,2025-12-27,2025-12-13,2025-12-10,"December 27, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Arizona,0,0.026975823996775852,0.1618549439806551,0.4046373599516377,2,12,30,0.03,0.16,0.4,2,12,30,wk inc rsv hosp,hosp,2025-12-13,2025-12-13,2025-12-10,"December 13, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Arizona,1,0.026975823996775852,0.20231867997581884,0.5530043919339049,2,15,41,0.03,0.2,0.55,2,15,41,wk inc rsv hosp,hosp,2025-12-20,2025-12-13,2025-12-10,"December 20, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Arizona,2,0.053951647993551705,0.21580659197420682,0.7553230719097238,4,16,56,0.05,0.22,0.76,4,16,56,wk inc rsv hosp,hosp,2025-12-27,2025-12-13,2025-12-10,"December 27, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Arizona,0,NA,NA,NA,1.5437856200090286e-4,4.567611803945555e-4,0.0010128516977469036,NA,NA,NA,2e-4,5e-4,0.001,wk inc rsv prop ed visits,prop_ed,2025-12-13,2025-12-13,2025-12-10,"December 13, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Arizona,1,NA,NA,NA,1.5983777361714576e-4,5.451607134738486e-4,0.0014197342595273455,NA,NA,NA,2e-4,5e-4,0.0014,wk inc rsv prop ed visits,prop_ed,2025-12-20,2025-12-13,2025-12-10,"December 20, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
Arizona,2,NA,NA,NA,1.3846556311513937e-4,6.09272491084997e-4,0.001720927736835804,NA,NA,NA,1e-4,6e-4,0.0017,wk inc rsv prop ed visits,prop_ed,2025-12-27,2025-12-13,2025-12-10,"December 27, 2025","December 10, 2025","December 13, 2025",RSVHub-ensemble
