location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
District of Columbia,0,0.937722735648607,2.2141750774680036,4.574523350928366,6.3369333257388,14.9629301967625,30.9136681556702,0.94,2.21,4.57,6,15,31,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
District of Columbia,1,0.7480643396903914,2.071009868540677,4.803681404391465,5.05526171411633,13.9954497795255,32.4622701577826,0.75,2.07,4.8,5,14,32,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
District of Columbia,2,0.5755792999312379,1.9838354618851135,5.29758989255363,3.88964403728232,13.4063434459726,35.8,0.58,1.98,5.3,4,13,36,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Florida,0,0.5177952832564329,1.111715066246476,1.8846309594892587,116.766937312969,250.700552221905,424.999207642027,0.52,1.11,1.88,117,251,425,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Florida,1,0.37692689462968754,1.0997396455077941,2.100192312536074,85,248,473.61,0.38,1.1,2.1,85,248,474,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Florida,2,0.18687933239271465,1.0507043249238521,2.2034549376942194,42.1427695388697,236.942146848582,496.896539813153,0.19,1.05,2.2,42,237,497,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Georgia,0,0.6932111928963595,1.0924521892686598,1.8429650643775313,76.0616761696665,119.867863506092,202.216890545289,0.69,1.09,1.84,76,120,202,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Georgia,1,0.4146780726528743,1.0451074099423578,1.929189857657286,45.5,114.67302056307,211.677791308935,0.41,1.05,1.93,46,115,212,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Georgia,2,0.32810821299005766,1.001891124566349,1.9955532654864079,36.0012372864108,109.931171127847,218.959427969653,0.33,1,2,36,110,219,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Hawaii,0,0.23155357714740568,0.7266515582051423,1.6133761859615237,3.22990611459259,10.1359535876698,22.5047424115494,0.23,0.73,1.61,3,10,23,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Hawaii,1,0.17315998118603038,0.7597004555135585,1.8639529423572554,2.41538260356676,10.5969476988903,26,0.17,0.76,1.86,2,11,26,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Hawaii,2,0.1429763344443205,0.711757515092075,2.098881906095671,1.99435544271366,9.92819881439209,29.2769888758426,0.14,0.71,2.1,2,10,29,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Idaho,0,0.21971058178411812,0.6766746650863575,1.3732211690129446,4.30897930969085,13.2709908989002,26.9317096921637,0.22,0.68,1.37,4,13,27,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Idaho,1,0.17400365756325517,0.6662647859257692,1.4856145874520588,3.41257191238659,13.0668316201112,29.1359772821309,0.17,0.67,1.49,3,13,29,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Idaho,2,0.10185943081486451,0.546015248093674,1.7220201484023512,1.99767428730128,10.7084892666805,33.7723796918773,0.1,0.55,1.72,2,11,34,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Illinois,0,1.1075901487236166,1.6439993365123882,2.551973250950296,138.812434739884,206.039707806199,319.834571266004,1.11,1.64,2.55,139,206,320,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Illinois,1,0.869092027243415,1.459969932623946,2.5738341403518548,108.921861081652,182.975608105671,322.574360245625,0.87,1.46,2.57,109,183,323,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Illinois,2,0.590449055656526,1.409660045872801,2.5990249426066123,74,176.670353513562,325.731481675482,0.59,1.41,2.6,74,177,326,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Indiana,0,0.6840694398306852,1.2352283668318236,1.9823689285991666,46.9348935570551,84.7506240452083,136.012909270796,0.68,1.24,1.98,47,85,136,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Indiana,1,0.43724575980924424,1.1164431066323448,2.1227982285316265,30,76.6006129220838,145.647946097252,0.44,1.12,2.12,30,77,146,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Indiana,2,0.21862287990462212,1.1617599859987715,2.210992286845563,15,79.7098629273575,151.699055090447,0.22,1.16,2.21,15,80,152,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Iowa,0,0.2667133911161589,0.7274317807866313,1.4615291702786313,8.5527303185288,23.3266422062986,46.8670312868253,0.27,0.73,1.46,9,23,47,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Iowa,1,0.20269983709170017,0.7051008504100711,1.572029534743697,6.5,22.6105535822018,50.4104597341703,0.2,0.71,1.57,6,23,50,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Iowa,2,0.1040891279844342,0.6608256880202213,1.9434478523081928,3.33783855777221,21.190776636827,62.3207754937091,0.1,0.66,1.94,3,21,62,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Kansas,0,0.285657760270312,0.786319571752519,1.574580462943508,8.34152368000701,22.9614043098982,45.9794973022643,0.29,0.79,1.57,8,23,46,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Kansas,1,0.17122636776478703,0.7355459961187365,1.79384115086833,5,21.4787595427228,52.3821527690327,0.17,0.74,1.79,5,21,52,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Kansas,2,0.09835245080649263,0.6743796601508402,1.9790343586254084,2.87200073476998,19.6926346378273,57.79,0.1,0.67,1.98,3,20,58,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Kentucky,0,0.708235254077529,1.3701252474041106,2.3861862638715707,31.9372313708975,61.7845649189657,107.602922001651,0.71,1.37,2.39,32,62,108,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Kentucky,1,0.4049680392660792,1.2364647496658765,2.3985214956154133,18.2616692594685,55.757265067908,108.159168175431,0.4,1.24,2.4,18,56,108,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Kentucky,2,0.21443272885489809,1.2475035047565157,2.833391480511974,9.66965091825566,56.2550477938408,127.769238761355,0.21,1.25,2.83,10,56,128,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Louisiana,0,1.119462155952917,1.902240493570515,2.987330044698286,51.0368841994577,86.7241713117463,136.193989896019,1.12,1.9,2.99,51,87,136,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Louisiana,1,0.8128989040270196,1.7043844618478374,3.196715809902669,37.0605,77.7038079832523,145.74,0.81,1.7,3.2,37,78,146,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Louisiana,2,0.5961220838632817,1.5112220258200826,2.9484508629417636,27.1775277092523,68.8974282170315,134.421467004981,0.6,1.51,2.95,27,69,134,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Maine,0,0.07168124782716218,0.394246863049392,1.0035374695802706,1,5.5,14,0.07,0.39,1,1,6,14,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Maine,1,0.07168124782716218,0.38026901972309535,1.3261030848025002,1,5.305,18.5,0.07,0.38,1.33,1,5,18,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Maine,2,0.07168124782716218,0.4192845978494421,1.2902624608889193,1,5.84929267498832,18,0.07,0.42,1.29,1,6,18,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Maryland,0,0.7545241035625272,1.2774142039054692,2.0804420235953645,46.397,78.5504220988621,127.93,0.75,1.28,2.08,46,79,128,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Maryland,1,0.5427070660367702,1.1984266767433918,2.095566006100982,33.3720018008959,73.6933416153687,128.86,0.54,1.2,2.1,33,74,129,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Maryland,2,0.35448007220630773,1.120749713985433,2.0559239306213812,21.7975964352915,68.9168500174666,126.422339801548,0.35,1.12,2.06,22,69,126,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Massachusetts,0,0.7903018158361529,1.5089581740427203,2.4361141115626066,55.3055818718132,105.597390975707,170.480069444808,0.79,1.51,2.44,55,106,170,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Massachusetts,1,0.6077507350980039,1.4726520236408145,2.613098683936143,42.5305969999009,103.056674589552,182.865508224417,0.61,1.47,2.61,43,103,183,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Massachusetts,2,0.4355403156717781,1.3084364449270574,2.929680383044779,30.4792550190152,91.5648142000223,205.02,0.44,1.31,2.93,30,92,205,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Michigan,0,1.2725812746121736,2.202570115153422,3.361361293130598,127.708074022482,221.035774230957,337.324605825472,1.27,2.2,3.36,128,221,337,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Michigan,1,0.9911969907302352,2.0550466698536587,3.3755151909393954,99.470156593036,206.231269836426,338.745,0.99,2.06,3.38,99,206,339,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Michigan,2,0.7463931968227349,1.8781923472173536,3.892822692002945,74.9032219248741,188.483307189941,390.658654519506,0.75,1.88,3.89,75,188,391,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Minnesota,0,0.853397337888853,1.433563724917807,2.374992516863725,48.9619910686173,82.2478945966211,136.260516919798,0.85,1.43,2.37,49,82,136,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Minnesota,1,0.6652214952722681,1.3964740917771348,2.68325842607856,38.1657728049007,80.1199499617523,153.946666177158,0.67,1.4,2.68,38,80,154,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Minnesota,2,0.5568534529766426,1.351186635584061,2.606015404799084,31.9483698632325,77.5216713789634,149.515,0.56,1.35,2.61,32,78,150,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Mississippi,0,0.6140903465479359,1.246885510205318,2.3284466211552783,17.9748481657972,36.4971992347117,68.1552392293836,0.61,1.25,2.33,18,36,68,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Mississippi,1,0.4851111475373112,1.227466910813503,2.556297897721407,14.1995380151089,35.9288034316797,74.824603311855,0.49,1.23,2.56,14,36,75,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Mississippi,2,0.37515775279736485,1.0606585236615298,2.598666235811974,10.9811262832283,31.0462068419543,76.0647538019192,0.38,1.06,2.6,11,31,76,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Missouri,0,0.4238570609856324,0.9160989097029121,1.6796261797212995,26.2003088449071,56.627756326354,103.824446265816,0.42,0.92,1.68,26,57,104,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Missouri,1,0.2480639527604401,0.915650383523327,2.2486808008927426,15.3338301372129,56.6000311201186,139,0.25,0.92,2.25,15,57,139,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Missouri,2,0.1845181971756925,0.8879845723476519,2.371549465459276,11.4058115305822,54.8898961147892,146.595006088889,0.18,0.89,2.37,11,55,147,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Montana,0,0.4985960277066151,1.1509700907141505,2.12486785977997,5.63155238566123,13,24,0.5,1.15,2.12,6,13,24,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Montana,1,0.3541446432966617,1.1509700907141505,2.3904763422524664,4,13,27,0.35,1.15,2.39,4,13,27,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
