location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,1.517395293698071,2.1481356683703594,2.865376039669872,5065.82,7171.545,9566.05,1.52,2.15,2.87,5100,7200,9600,wk inc covid hosp,hosp,2025-08-16,2025-08-16,2025-08-13,"August 16, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
United States,1,1.4964113015112155,2.3353576293506237,3.702981944055763,4995.765,7796.585,12362.395,1.5,2.34,3.7,5000,7800,12400,wk inc covid hosp,hosp,2025-08-23,2025-08-16,2025-08-13,"August 23, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
United States,2,1.2938126616513244,2.5062174381189544,4.37131408262,4319.39,8367,14593.62,1.29,2.51,4.37,4300,8400,14600,wk inc covid hosp,hosp,2025-08-30,2025-08-16,2025-08-13,"August 30, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
Alabama,0,1.2359336527273623,1.746001509408496,3.040508957582561,63,89,154.98571780532,1.24,1.75,3.04,60,90,150,wk inc covid hosp,hosp,2025-08-16,2025-08-16,2025-08-13,"August 16, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
Alabama,1,1.24574264997123,1.9225634597981192,3.7470369471575586,63.5,98,191,1.25,1.92,3.75,60,100,190,wk inc covid hosp,hosp,2025-08-23,2025-08-16,2025-08-13,"August 23, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
Alabama,2,1.1770796692641545,1.9814174432613267,4.453284748716051,60,101,227,1.18,1.98,4.45,60,100,230,wk inc covid hosp,hosp,2025-08-30,2025-08-16,2025-08-13,"August 30, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
Alaska,0,0.7727855829121653,1.6158244006345275,2.950635862028267,5.5,11.5,21,0.77,1.62,2.95,6,10,20,wk inc covid hosp,hosp,2025-08-16,2025-08-16,2025-08-13,"August 16, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
Alaska,1,0.7727855829121653,1.686077635444724,3.723421444940432,5.5,12,26.5,0.77,1.69,3.72,6,10,30,wk inc covid hosp,hosp,2025-08-23,2025-08-16,2025-08-13,"August 23, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
Alaska,2,0.5620258784815747,1.686077635444724,4.496207027852598,4,12,32,0.56,1.69,4.5,4,10,30,wk inc covid hosp,hosp,2025-08-30,2025-08-16,2025-08-13,"August 30, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
Arizona,0,0.9576417518855426,1.6374118373360782,2.6378309495247265,71,121.398466829542,195.57,0.96,1.64,2.64,70,120,200,wk inc covid hosp,hosp,2025-08-16,2025-08-16,2025-08-13,"August 16, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
Arizona,1,1.0247441140775226,1.7802727439864818,3.2736511211287334,75.975,131.99024016462,242.71,1.02,1.78,3.27,80,130,240,wk inc covid hosp,hosp,2025-08-23,2025-08-16,2025-08-13,"August 23, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
Arizona,2,0.9554836859658006,1.9576547723413231,4.650227419684205,70.84,145.141425342581,344.77,0.96,1.96,4.65,70,150,340,wk inc covid hosp,hosp,2025-08-30,2025-08-16,2025-08-13,"August 30, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
Arkansas,0,0.22846131954036195,0.5257874082564615,1.2261845393044855,7,16.11,37.57,0.23,0.53,1.23,7,20,40,wk inc covid hosp,hosp,2025-08-16,2025-08-16,2025-08-13,"August 16, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
Arkansas,1,0.22487121309044195,0.6723290260759223,1.6987730974394053,6.89,20.6,52.05,0.22,0.67,1.7,7,20,50,wk inc covid hosp,hosp,2025-08-23,2025-08-16,2025-08-13,"August 23, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
Arkansas,2,0.2413753548714298,0.7645340760922181,1.835686702506808,7.39568294317544,23.4251406032873,56.245,0.24,0.76,1.84,7,20,60,wk inc covid hosp,hosp,2025-08-30,2025-08-16,2025-08-13,"August 30, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
California,0,1.76331754958394,2.72997580133997,3.9273271919210844,684.664165023568,1060,1524.90978908788,1.76,2.73,3.93,680,1100,1500,wk inc covid hosp,hosp,2025-08-16,2025-08-16,2025-08-13,"August 16, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
California,1,1.6701142054471103,2.96820482173992,4.66680993030243,648.475,1152.5,1812.0375,1.67,2.97,4.67,650,1200,1800,wk inc covid hosp,hosp,2025-08-23,2025-08-16,2025-08-13,"August 23, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
California,2,1.5447991353362143,2.896092253402638,5.396080470724061,599.817435250763,1124.5,2095.2,1.54,2.9,5.4,600,1100,2100,wk inc covid hosp,hosp,2025-08-30,2025-08-16,2025-08-13,"August 30, 2025","August 13, 2025","August 16, 2025",CovidHub-ensemble
