location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,1.1813486502487969,1.5598179080217942,2.292348757490661,3943.9292083333335,5207.447780833334,7653,1.18,1.56,2.29,3900,5200,7700,wk inc rsv hosp,hosp,2026-02-07,2026-02-07,2026-02-04,"February 07, 2026","February 04, 2026","February 07, 2026",RSVHub-ensemble
United States,1,0.845983496055449,1.4249825332090635,2.2538583856969128,2824.313566666667,4757.3002541666665,7524.5,0.85,1.42,2.25,2800,4800,7500,wk inc rsv hosp,hosp,2026-02-14,2026-02-07,2026-02-04,"February 14, 2026","February 04, 2026","February 07, 2026",RSVHub-ensemble
United States,2,0.7467431663954288,1.2197507822411737,2.0811759005677657,2493,4072.13462,6948,0.75,1.22,2.08,2500,4100,6900,wk inc rsv hosp,hosp,2026-02-21,2026-02-07,2026-02-04,"February 21, 2026","February 04, 2026","February 07, 2026",RSVHub-ensemble
United States,0,NA,NA,NA,0.0036620328993310788,0.005075207517243654,0.007215847043235881,NA,NA,NA,0.0037,0.0051,0.0072,wk inc rsv prop ed visits,prop_ed,2026-02-07,2026-02-07,2026-02-04,"February 07, 2026","February 04, 2026","February 07, 2026",RSVHub-ensemble
United States,1,NA,NA,NA,0.0028344217174564434,0.004853265015320834,0.008549603443526045,NA,NA,NA,0.0028,0.0049,0.0085,wk inc rsv prop ed visits,prop_ed,2026-02-14,2026-02-07,2026-02-04,"February 14, 2026","February 04, 2026","February 07, 2026",RSVHub-ensemble
United States,2,NA,NA,NA,0.0016465635122735187,0.003930839210715638,0.008422480344810565,NA,NA,NA,0.0016,0.0039,0.0084,wk inc rsv prop ed visits,prop_ed,2026-02-21,2026-02-07,2026-02-04,"February 21, 2026","February 04, 2026","February 07, 2026",RSVHub-ensemble
Alabama,0,0.6964388043146248,1.1966976637518905,1.8146644901155717,35.5,61,92.5,0.7,1.2,1.81,40,60,90,wk inc rsv hosp,hosp,2026-02-07,2026-02-07,2026-02-04,"February 07, 2026","February 04, 2026","February 07, 2026",RSVHub-ensemble
Alabama,1,0.5689218401443414,1.0201357133622673,1.8146644901155717,29,52,92.5,0.57,1.02,1.81,30,50,90,wk inc rsv hosp,hosp,2026-02-14,2026-02-07,2026-02-04,"February 14, 2026","February 04, 2026","February 07, 2026",RSVHub-ensemble
Alabama,2,0.4119778842424541,0.7847197795094364,1.3732596141415137,21,40,70,0.41,0.78,1.37,20,40,70,wk inc rsv hosp,hosp,2026-02-21,2026-02-07,2026-02-04,"February 21, 2026","February 04, 2026","February 07, 2026",RSVHub-ensemble
Alabama,0,NA,NA,NA,0.002477460318982888,0.0038453279820698126,0.005977758968980113,NA,NA,NA,0.0025,0.0038,0.006,wk inc rsv prop ed visits,prop_ed,2026-02-07,2026-02-07,2026-02-04,"February 07, 2026","February 04, 2026","February 07, 2026",RSVHub-ensemble
Alabama,1,NA,NA,NA,0.0018229221605280226,0.003501988585329633,0.006756925964691295,NA,NA,NA,0.0018,0.0035,0.0068,wk inc rsv prop ed visits,prop_ed,2026-02-14,2026-02-07,2026-02-04,"February 14, 2026","February 04, 2026","February 07, 2026",RSVHub-ensemble
Alabama,2,NA,NA,NA,0.001307848440838202,0.0031337232198834653,0.006776460254305703,NA,NA,NA,0.0013,0.0031,0.0068,wk inc rsv prop ed visits,prop_ed,2026-02-21,2026-02-07,2026-02-04,"February 21, 2026","February 04, 2026","February 07, 2026",RSVHub-ensemble
Alaska,0,0.5620258784815747,1.7212042528498224,3.372155270889448,4,12.25,24,0.56,1.72,3.37,4,10,20,wk inc rsv hosp,hosp,2026-02-07,2026-02-07,2026-02-04,"February 07, 2026","February 04, 2026","February 07, 2026",RSVHub-ensemble
