location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
US,0,0.6515782620379641,0.977120981694153,1.4030140330529524,2175.29222945774,3262.11570053202,4683.95847702855,0.65,0.98,1.4,2175,3262,4684,wk inc covid hosp,2025-05-24,2025-05-24,2025-05-21,"May 24, 2025","May 21, 2025","May 24, 2025",CovidHub-ensemble
US,1,0.5071366847324037,0.9139947603784391,1.6178754933122694,1693.07442228188,3051.36898489788,5401.27286908665,0.51,0.91,1.62,1693,3051,5401,wk inc covid hosp,2025-05-31,2025-05-24,2025-05-21,"May 31, 2025","May 21, 2025","May 24, 2025",CovidHub-ensemble
US,2,0.34927342397993116,0.868924648935034,1.5459275922600433,1166.04836196235,2900.90254223758,5161.075,0.35,0.87,1.55,1166,2901,5161,wk inc covid hosp,2025-06-07,2025-05-24,2025-05-21,"June 07, 2025","May 21, 2025","May 24, 2025",CovidHub-ensemble
Alabama,0,0.7956212303174781,1.303580729798737,2.0977730528970775,40.5556863019233,66.4482157242762,106.931065466885,0.8,1.3,2.1,41,66,107,wk inc covid hosp,2025-05-24,2025-05-24,2025-05-21,"May 24, 2025","May 21, 2025","May 24, 2025",CovidHub-ensemble
Alabama,1,0.6449067585552466,1.2461343797126552,2.1664587880196637,32.8732255969593,63.5199678790648,110.432225341587,0.64,1.25,2.17,33,64,110,wk inc covid hosp,2025-05-31,2025-05-24,2025-05-21,"May 31, 2025","May 21, 2025","May 24, 2025",CovidHub-ensemble
Alabama,2,0.5100678566811336,1.1051470228091222,2.0883355132194876,26,56.3333333333333,106.45,0.51,1.11,2.09,26,56,106,wk inc covid hosp,2025-06-07,2025-05-24,2025-05-21,"June 07, 2025","May 21, 2025","May 24, 2025",CovidHub-ensemble
Alaska,0,0.21770997570983588,0.8121880912133014,1.8446823139294604,1.54946584522423,5.7804319858551,13.1288069432905,0.22,0.81,1.84,2,6,13,wk inc covid hosp,2025-05-24,2025-05-24,2025-05-21,"May 24, 2025","May 21, 2025","May 24, 2025",CovidHub-ensemble
Alaska,1,0.16338368684007837,0.7793215767656563,1.9141587005897898,1.16281967144639,5.54651738721462,13.6232780295546,0.16,0.78,1.91,1,6,14,wk inc covid hosp,2025-05-31,2025-05-24,2025-05-21,"May 31, 2025","May 21, 2025","May 24, 2025",CovidHub-ensemble
Alaska,2,0.0758734935950126,0.5697695043773822,2.2725747406431682,0.54,4.05511223729931,16.1741644123789,0.08,0.57,2.27,1,4,16,wk inc covid hosp,2025-06-07,2025-05-24,2025-05-21,"June 07, 2025","May 21, 2025","May 24, 2025",CovidHub-ensemble
Arizona,0,0.38506564145898065,0.8206720055419133,1.7866493983334337,28.5489437879639,60.845,132.463008251164,0.39,0.82,1.79,29,61,132,wk inc covid hosp,2025-05-24,2025-05-24,2025-05-21,"May 24, 2025","May 21, 2025","May 24, 2025",CovidHub-ensemble
